topology.workers,component.bolt_num,topology.acker.executors,message.size,component.spout_num,topology.serialized.message.size.metrics,topology.max.spout.pending,storm.messaging.netty.min_wait_ms,topology.transfer.buffer.size,storm.messaging.netty.max_wait_ms,topology.level,topology.priority,Performance
4,1,4,10,1,1,1,1000,1024,10000,2,0,0.014766941334
4,10,2,1000000,10,0,1000,1000,1024,10000,2,29,0.000141623192432
4,10,2,1000000,1,1,1,1000,1024,10000,5,29,0.00091646546641
4,1,2,1000000,10,0,1000,1000,512,10000,2,29,2.0
4,10,4,1000000,1,1,1,1000,1024,10000,5,0,0.000943700695724
4,10,4,1000000,1,1,1,1000,1024,10000,2,29,0.00224282113399
4,10,4,10,1,1,1,1000,1024,10000,2,0,0.0144646302886
4,10,2,10,1,1,1,1000,1024,10000,5,0,0.0145545065453
4,10,2,1000000,1,1,1,1000,1024,10000,2,0,0.00276301401389
4,1,2,10,1,1,1000,1000,1024,10000,5,29,0.232227991552
4,10,4,10,1,1,1,1000,512,10000,5,29,0.0141718515734
