topology.workers,component.bolt_num,topology.acker.executors,message.size,component.spout_num,topology.serialized.message.size.metrics,topology.max.spout.pending,storm.messaging.netty.min_wait_ms,topology.transfer.buffer.size,storm.messaging.netty.max_wait_ms,topology.level,topology.priority,Performance
4,10,4,1000000,10,0,1000,10,1024,10000,5,29,2.0
2,1,2,1000000,1,1,1,1000,512,10000,5,0,0.000853824438988
4,1,4,10,1,1,1000,1000,1024,100,2,29,2.0
2,1,2,10,10,0,1,10,1024,100,2,29,0.149084283502
2,1,4,1000000,1,1,1,1000,512,10000,2,0,0.00138491141061
4,1,2,1000000,10,1,1000,10,512,10000,5,0,2.0
4,10,2,10,1,0,1000,1000,512,100,2,0,2.0
2,10,2,10,1,0,1000,10,1024,10000,2,29,2.0
4,10,2,10,10,1,1,1000,1024,10000,2,29,0.143476549787
2,1,2,10,1,1,1,10,512,10000,5,29,2.0
2,1,2,1000000,1,1,1,1000,512,10000,2,29,0.00130048219974
4,1,4,1000000,1,0,1,1000,512,100,2,29,2.0
2,10,2,10,10,0,1000,10,1024,100,2,0,0.812023809037
2,1,2,10,1,1,1,10,512,10000,5,0,2.0
4,10,4,10,10,1,1,1000,1024,100,2,29,2.0
2,1,2,1000000,10,0,1000,10,1024,100,2,0,2.0
4,1,4,10,1,0,1,1000,512,10000,5,29,0.0146974914992
4,10,4,10,10,1,1000,1000,512,100,2,29,2.0
2,1,2,1000000,10,0,1000,1000,512,100,2,29,2.0
4,1,4,10,10,1,1,1000,1024,10000,2,0,0.143928654593
2,10,4,1000000,1,0,1,10,512,100,2,29,0.00244163830798
2,1,2,1000000,10,0,1,10,512,10000,2,0,2.0
4,1,4,1000000,1,0,1000,1000,1024,100,2,29,2.0
2,1,4,1000000,1,1,1000,1000,1024,10000,5,0,2.0
4,10,2,1000000,10,1,1,1000,1024,100,5,0,2.0
2,1,4,10,1,1,1000,10,512,10000,5,0,2.0
4,1,2,1000000,1,0,1000,10,512,10000,2,29,2.0
4,10,2,1000000,1,1,1,1000,1024,100,5,0,2.0
4,10,2,1000000,1,1,1000,10,1024,100,5,0,2.0
2,10,4,1000000,1,1,1,10,512,100,2,29,0.00249883228954
4,10,4,10,10,0,1,1000,512,10000,5,29,0.0779472262962
2,1,4,1000000,10,0,1000,1000,1024,100,2,29,2.0
2,1,2,1000000,10,1,1000,10,512,100,2,0,2.0
4,10,2,1000000,1,0,1,10,512,10000,5,29,2.0
4,10,2,10,1,0,1000,10,1024,100,2,29,0.566148244077
2,10,2,1000000,1,0,1000,10,1024,10000,2,0,2.0
2,1,4,1000000,1,0,1,10,512,10000,5,29,2.0
4,1,2,10,10,1,1,1000,1024,100,5,0,2.0
2,1,2,1000000,1,1,1000,1000,1024,100,2,29,2.0
4,1,4,1000000,1,1,1000,10,512,100,5,29,0.000121196770447
4,1,2,1000000,10,1,1000,1000,1024,10000,2,0,2.0
4,1,2,10,10,1,1000,10,512,10000,2,0,2.0
4,10,2,1000000,10,0,1000,10,1024,100,5,0,2.0
2,10,4,10,10,1,1,1000,512,10000,5,0,0.134714976516
2,1,4,1000000,10,1,1000,10,512,10000,5,29,2.0
2,1,2,1000000,10,0,1000,1000,1024,100,2,29,2.0
4,10,4,10,10,1,1000,1000,512,100,2,29,2.0
4,1,2,1000000,10,1,1000,1000,1024,10000,2,29,2.0
2,10,4,1000000,10,1,1,1000,1024,10000,5,29,2.0
4,10,2,10,10,1,1000,10,512,10000,2,0,2.0
2,1,4,10,1,1,1,1000,512,10000,2,29,0.0149357997557
4,10,2,1000000,1,1,1,1000,512,10000,2,29,0.00305443096755
2,1,2,1000000,10,1,1,10,1024,100,5,29,2.0
4,1,2,1000000,10,1,1,10,512,100,2,29,0.00268947889474
4,1,2,10,10,0,1000,10,1024,10000,2,0,2.0
4,1,4,1000000,10,0,1,10,1024,100,2,0,0.002421211886
2,10,2,1000000,1,1,1,10,1024,10000,5,29,2.0
2,1,4,1000000,10,0,1000,1000,1024,10000,2,29,2.0
2,1,2,1000000,10,0,1,1000,512,100,2,0,2.0
2,1,4,10,10,1,1000,1000,1024,100,2,29,2.0
2,10,4,1000000,10,0,1,1000,1024,10000,2,29,2.0
2,1,2,1000000,10,0,1000,1000,512,100,2,0,2.0
2,10,4,1000000,1,1,1000,10,1024,10000,5,0,2.0
4,1,2,10,10,0,1,10,1024,10000,5,29,2.0
2,10,2,1000000,10,1,1000,10,1024,100,2,29,2.0
4,1,2,1000000,1,0,1,1000,1024,10000,5,29,0.000616877943958
2,1,4,1000000,1,0,1000,1000,1024,10000,5,0,0.000166134898814
4,1,2,1000000,1,1,1,1000,512,10000,5,29,0.000668624879654
2,10,2,1000000,1,0,1000,1000,1024,100,2,0,2.0
2,10,2,1000000,1,1,1,10,1024,100,2,0,0.00253151456472
4,1,4,1000000,1,1,1,1000,512,100,2,0,2.0
2,1,4,1000000,10,1,1000,10,512,10000,5,0,2.0
4,1,4,10,1,1,1,10,1024,10000,2,0,2.0
4,10,2,10,10,1,1000,10,512,10000,2,29,2.0
2,1,4,10,1,0,1000,10,512,10000,2,29,2.0
2,10,4,10,10,0,1000,1000,512,100,2,29,2.0
4,1,2,1000000,1,1,1000,1000,512,100,5,29,2.0
4,1,4,1000000,1,1,1000,1000,512,10000,2,29,2.31499449167e-05
4,10,2,10,1,0,1,1000,512,100,5,29,2.0
4,1,4,1000000,10,1,1,10,512,10000,5,0,2.0
2,10,2,10,1,0,1000,10,1024,10000,2,29,2.0
4,1,2,10,1,0,1,1000,1024,10000,5,0,0.0148009853706
4,10,2,1000000,10,0,1,10,512,10000,2,29,2.0
4,1,4,1000000,10,0,1000,10,1024,10000,2,0,2.0
2,10,4,10,1,1,1000,1000,1024,100,2,0,2.0
2,10,4,10,1,1,1,1000,1024,100,2,0,2.0
2,1,4,10,1,1,1000,10,512,100,2,29,0.954793604623
2,1,2,10,1,0,1,10,512,100,2,0,0.0151182757921
2,1,4,1000000,1,0,1,1000,512,100,2,29,2.0
4,1,2,10,1,0,1,1000,512,10000,2,0,0.0146484680864
2,1,2,1000000,10,0,1000,10,1024,100,2,0,2.0
2,10,4,1000000,1,1,1000,1000,1024,10000,5,29,2.0
2,1,4,1000000,10,1,1,1000,512,100,2,0,2.0
4,1,2,10,10,0,1,1000,512,100,2,0,2.0
2,10,2,1000000,1,0,1000,1000,512,10000,2,29,2.0
