fsync,synchronousCommit,fullPageWrites,trackActivities,trackCounts,sharedBuffers,tempBuffers,workMem,Performance
1,1,0,1,1,256,8,1024,122151.8
1,1,1,0,0,128,2,1024,135272.2
1,1,0,0,0,64,32,1024,132129.6
0,0,1,0,0,64,32,1024,46389.6
0,0,1,1,1,256,2,4096,46800.0
0,0,1,0,1,256,32,4096,47000.2
1,0,0,1,0,128,8,4096,131102.8
0,1,1,0,1,64,32,1024,46469.6
1,0,0,0,0,128,8,4096,135612.4
1,1,1,0,1,128,2,4096,134358.4
1,1,1,1,1,256,2,4096,127524.8
1,1,1,0,1,256,32,256,129297.0
1,1,0,0,1,256,2,4096,132262.2
0,1,0,1,1,128,8,1024,47354.4
0,1,1,0,1,256,32,1024,46493.8
1,0,0,0,0,64,2,4096,132542.0
0,1,0,0,0,128,32,1024,46341.0
0,0,1,1,0,128,8,256,47257.2
1,0,1,1,1,256,2,1024,139540.2
1,1,1,1,1,64,8,256,131856.0
1,1,0,1,1,256,8,1024,122151.8
1,1,1,0,1,256,8,256,132414.6
1,1,0,1,1,64,8,1024,125966.2
1,1,0,1,1,256,2,1024,130103.4
0,1,1,1,1,64,32,4096,46849.4
1,0,1,0,0,64,2,4096,134209.2
0,1,0,1,1,128,32,1024,46648.6
0,1,0,1,0,128,8,256,46439.6
1,0,0,1,1,128,32,256,135614.0
0,1,1,0,1,256,2,256,46083.6
1,1,1,0,1,256,2,1024,128397.6
0,1,1,0,1,64,8,4096,46694.0
1,1,0,1,1,128,8,256,131563.8
0,0,0,1,1,256,2,4096,46327.4
0,0,1,1,1,128,2,1024,46692.6
1,0,1,1,0,256,8,1024,140390.4
0,0,0,1,1,128,2,1024,46407.8
0,0,1,1,0,128,8,1024,47024.0
0,0,1,0,1,256,32,1024,45939.8
1,0,1,1,0,64,32,4096,138943.4
0,0,1,1,1,64,8,1024,46645.6
1,1,1,1,1,64,8,256,131856.0
0,0,1,1,1,64,2,1024,46681.8
0,0,0,0,1,256,8,256,46100.4
1,0,1,0,0,256,8,4096,137294.8
0,0,0,0,0,256,32,1024,46256.6
0,0,0,0,0,128,32,4096,46476.2
1,1,0,1,1,64,2,4096,134920.4
0,0,1,1,1,128,32,4096,46593.6
1,1,1,1,0,128,2,256,128216.6
0,1,0,0,1,256,2,4096,46310.8
1,0,1,1,1,256,2,1024,139540.2
1,1,1,1,1,128,2,256,130797.6
1,1,1,1,1,64,8,256,131856.0
1,0,0,1,1,256,2,4096,134019.0
0,0,1,0,0,64,2,1024,46199.0
1,0,1,1,0,64,8,1024,138765.2
0,1,1,0,1,64,2,1024,46614.4
1,0,1,0,0,128,32,4096,137057.4
1,1,0,1,0,128,2,1024,132390.8
1,1,1,0,0,128,32,256,134640.4
1,1,1,0,1,256,32,4096,128597.0
0,0,1,1,1,64,2,4096,46572.8
0,0,1,0,1,128,8,1024,46365.0
0,0,0,0,0,64,32,4096,46314.4
1,1,0,0,1,64,8,256,134080.8
0,0,0,0,0,128,32,4096,46476.2
1,0,0,1,0,256,8,1024,132022.4
1,0,0,1,1,128,32,256,135614.0
0,0,1,0,1,64,2,4096,46238.6
1,0,1,1,1,128,8,256,136436.0
1,0,0,0,0,256,2,256,135069.0
0,0,0,0,0,256,8,4096,46426.6
0,0,1,1,1,128,32,1024,46659.6
0,0,1,0,1,64,2,4096,46238.6
1,0,0,1,0,128,32,1024,130621.6
1,0,0,1,1,128,2,256,131667.8
1,1,0,1,0,128,2,1024,132390.8
1,1,0,0,1,128,2,1024,130383.4
0,1,0,0,0,128,2,4096,46368.8
0,0,1,0,0,64,32,1024,46389.6
0,0,0,1,1,256,2,256,46438.2
1,1,0,1,0,256,2,4096,129499.4
0,0,0,1,1,256,32,4096,46507.4
1,1,1,0,0,256,8,1024,133985.0
1,1,0,1,1,256,8,256,132543.6
1,1,0,0,0,128,32,1024,133666.2
0,0,0,0,1,256,32,4096,46070.8
1,0,1,1,1,128,2,256,141082.4
0,0,0,1,1,256,8,1024,46307.6
1,1,0,0,1,128,2,256,136842.2
0,1,0,1,0,64,8,1024,46348.8
0,0,0,0,1,64,8,256,46194.8
1,0,1,1,0,64,32,1024,139522.4
1,0,0,1,0,64,2,4096,128320.8
0,1,1,0,0,256,8,4096,46382.8
0,1,0,1,0,128,8,4096,46586.4
0,1,1,0,1,64,8,256,46219.0
0,0,1,0,1,64,8,1024,47386.4
0,1,1,0,1,64,2,1024,46614.4
1,1,0,0,0,128,32,1024,133666.2
1,0,0,1,1,64,2,1024,133912.8
1,1,0,1,0,64,32,1024,132685.0
0,1,1,0,1,128,2,1024,46282.6
0,1,1,0,0,64,8,256,45922.8
0,1,0,1,1,64,2,1024,46520.6
1,0,0,0,1,64,8,1024,134427.4
0,1,0,0,1,64,8,4096,46203.2
1,0,1,0,1,64,32,4096,135629.4
0,0,0,1,0,256,2,256,46452.6
1,0,1,0,1,64,8,1024,135714.8
0,0,1,0,0,64,2,1024,46199.0
1,1,0,1,1,256,2,256,131228.6
1,1,0,0,0,64,32,256,132467.8
0,1,0,0,1,256,32,4096,46104.2
1,0,1,1,0,128,32,4096,138185.4
1,1,0,0,1,64,2,1024,136113.4
1,0,1,1,1,128,2,256,141082.4
0,0,1,1,1,256,2,4096,46800.0
1,1,0,1,0,128,2,1024,132390.8
1,0,1,0,1,64,2,1024,131850.2
1,1,0,1,1,128,32,1024,129568.0
1,1,0,1,0,64,2,4096,131709.2
0,1,1,0,1,64,2,256,46194.4
1,0,1,0,1,128,8,1024,136768.0
1,1,1,0,0,64,32,1024,134439.4
1,1,0,1,1,128,2,4096,128536.4
0,1,1,1,1,256,8,1024,46674.6
0,0,1,1,1,64,8,4096,46617.4
0,0,0,0,1,256,32,1024,46176.6
1,1,0,0,0,64,32,256,132467.8
1,0,1,1,0,64,2,4096,140311.8
1,0,1,0,0,256,8,256,133510.4
1,1,1,0,0,128,2,4096,133944.0
0,1,0,0,0,64,2,256,46500.4
1,0,1,1,1,64,2,4096,139900.6
0,0,0,0,0,64,8,256,46297.6
1,1,1,0,0,64,2,1024,129472.0
0,0,1,0,1,64,8,256,46344.4
1,0,0,0,0,64,2,1024,131859.6
0,0,0,1,1,256,8,256,46222.8
0,0,0,1,0,128,2,4096,47528.8
1,0,1,1,0,256,2,256,140950.6
1,1,1,0,0,256,32,1024,132806.8
0,1,0,1,1,256,8,4096,46447.6
1,1,0,0,1,128,32,4096,133873.0
1,1,1,1,0,128,8,1024,129666.0
0,1,0,1,0,128,32,4096,46190.0
1,1,1,1,0,128,2,1024,128922.6
0,1,0,0,1,64,32,1024,46172.8
1,0,0,1,0,256,2,1024,133313.6
0,0,0,0,0,64,2,4096,46558.6
1,1,0,0,1,128,2,256,136842.2
1,0,0,1,0,128,2,4096,134138.8
1,0,0,1,0,256,2,1024,133313.6
0,0,1,1,0,128,32,256,46471.0
1,1,1,1,1,128,32,4096,132082.4
1,0,0,1,0,256,2,1024,133313.6
1,1,0,1,1,256,2,1024,130103.4
0,1,1,1,0,64,8,256,46687.4
1,1,1,1,0,128,8,4096,129330.0
0,0,0,1,1,128,8,256,46472.4
1,0,1,1,0,128,32,1024,138660.8
1,0,0,0,1,128,8,1024,130543.6
1,1,0,1,0,64,32,1024,132685.0
0,0,1,0,1,64,32,4096,47106.4
0,0,0,1,1,64,8,256,46340.2
0,0,0,1,1,128,8,256,46472.4
1,0,1,1,1,64,8,4096,136839.6
0,0,0,1,0,64,8,1024,46405.2
1,0,0,1,1,128,2,256,131667.8
1,0,1,1,0,64,32,1024,139522.4
0,1,0,1,1,64,2,1024,46520.6
0,1,1,1,0,256,8,256,46539.6
1,0,1,0,0,128,32,4096,137057.4
0,0,1,1,0,128,32,1024,46495.6
0,1,1,0,0,64,2,4096,46357.8
0,0,0,0,0,64,8,4096,46285.0
0,1,1,0,0,256,2,256,46407.8
1,1,1,0,0,256,2,4096,131836.0
0,1,1,0,0,64,2,4096,46357.8
1,1,0,1,1,256,32,1024,127450.4
0,1,0,1,1,64,2,256,46400.6
0,0,1,1,0,256,32,4096,47278.0
0,0,0,1,1,256,8,1024,46307.6
1,0,1,1,1,64,32,1024,141022.0
