new_column3,new_column2,new_column,no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,Performance
2,3,3,1,1,1,1,1,0,0,98.726
2,2,2,0,0,1,0,0,0,0,65.926
1,3,1,1,0,0,0,1,1,0,147.628
1,1,3,0,0,1,0,1,0,1,94.922
3,1,1,1,0,0,1,1,0,0,32.08
2,3,1,1,1,1,1,0,0,0,91.506
1,3,2,0,0,0,1,0,0,1,181.532
1,2,3,1,0,1,1,1,0,1,134.842
3,3,1,0,0,1,0,1,1,0,54.806
4,3,3,0,1,0,1,1,1,1,44.752
2,2,2,1,0,1,1,0,1,1,59.97
4,2,2,0,0,1,0,1,1,1,32.536
3,2,2,1,1,0,1,0,0,1,46.864
4,2,3,1,1,0,0,0,1,0,29.412
4,2,2,0,1,1,1,1,1,1,33.676
1,2,3,0,0,1,1,0,0,1,132.422
4,2,2,0,1,0,1,0,0,1,35.892
4,2,3,0,0,1,0,1,1,1,31.996
3,3,1,0,0,0,0,1,0,1,67.52
4,2,3,0,1,0,0,1,1,0,31.75
2,3,3,0,0,1,1,0,0,0,98.22
2,3,1,1,0,1,0,1,0,0,91.464
2,2,2,1,1,1,1,1,1,1,62.532
4,1,3,1,1,0,1,1,0,0,23.002
3,3,2,1,1,0,1,0,0,0,66.474
4,1,2,1,0,0,1,0,0,1,23.114
3,1,1,1,1,0,1,0,0,0,29.056
3,1,3,0,1,0,1,0,1,1,32.288
2,3,1,0,1,0,1,1,0,0,103.084
1,3,2,1,1,0,1,1,0,0,183.006
3,3,1,0,0,1,0,1,0,0,67.876
3,3,2,1,1,1,0,1,1,1,52.074
3,2,1,1,1,0,1,0,0,0,46.338
2,2,1,0,0,0,0,0,0,0,65.146
4,2,3,0,1,1,1,1,0,1,38.302
1,3,3,0,1,0,0,1,0,1,180.666
1,3,2,1,0,1,0,1,1,0,147.438
3,2,3,1,0,1,0,1,1,0,40.398
1,1,2,1,1,1,1,1,1,0,86.896
1,3,1,0,1,0,1,1,1,1,164.73
4,3,2,1,1,1,1,1,1,0,42.7
2,1,2,0,1,1,0,0,0,1,45.278
2,3,3,0,1,0,0,0,0,1,87.18
3,1,1,0,0,0,1,0,0,1,31.612
4,3,2,1,0,0,0,0,0,0,43.528
4,2,3,1,1,1,0,0,1,0,30.254
3,3,1,1,1,1,0,1,0,1,63.514
1,3,3,1,0,1,0,0,1,1,137.826
1,1,1,0,1,1,0,1,1,1,93.292
3,1,1,0,1,1,0,0,0,0,30.642
2,3,2,1,0,1,0,0,0,0,84.418
4,3,3,1,0,0,1,1,0,1,50.454
1,1,1,0,0,0,1,1,1,1,95.346
1,1,2,1,1,1,1,1,1,1,87.288
2,2,2,0,0,1,0,0,1,1,58.406
2,1,2,1,0,0,0,1,0,1,46.892
1,2,1,1,1,0,1,1,0,1,132.76
4,1,3,1,0,0,1,1,0,1,23.686
3,1,1,1,0,1,0,0,1,0,29.604
4,3,3,1,0,0,1,0,1,0,43.142
2,3,1,0,1,0,1,0,0,0,95.238
4,1,2,1,1,1,0,0,1,0,22.854
3,2,3,1,1,0,1,1,1,1,43.42
2,3,1,0,1,1,1,0,1,0,83.208
3,1,1,1,0,1,0,1,0,0,31.59
4,3,1,0,0,0,1,0,1,1,42.588
2,1,2,0,1,0,1,1,1,1,49.78
1,2,3,1,1,0,0,0,0,0,115.436
1,1,2,0,0,0,1,0,0,1,87.306
1,3,2,0,1,0,0,1,1,0,152.56
3,2,3,1,0,1,0,1,1,1,40.654
2,3,1,0,1,0,1,0,1,0,82.924
3,3,1,0,0,0,0,0,1,1,51.166
1,2,1,0,0,0,0,0,0,0,122.418
4,2,2,0,0,1,0,1,1,1,32.536
2,1,3,1,0,1,1,0,0,0,44.616
2,1,1,0,0,0,1,0,0,0,45.952
1,2,1,1,0,0,1,0,1,0,111.734
3,1,1,0,1,0,1,1,1,1,33.696
1,2,2,0,0,0,0,0,1,0,109.946
3,3,2,1,1,1,0,1,1,0,52.074
4,1,1,0,1,1,0,0,1,1,23.274
1,2,3,0,0,1,1,1,1,1,125.494
1,1,3,0,0,1,1,0,1,1,87.748
2,1,3,0,1,1,0,1,0,1,49.434
1,3,1,0,0,0,0,1,1,1,153.452
2,2,2,0,0,0,1,0,0,0,70.284
3,2,3,1,1,0,1,1,1,0,43.538
2,1,1,1,0,0,0,0,0,0,42.96
2,1,3,0,0,0,1,0,1,1,47.326
4,1,1,1,0,0,1,0,1,0,22.492
2,3,3,1,0,0,0,0,0,1,84.054
4,2,1,1,0,1,0,0,0,0,31.868
3,1,2,1,1,0,1,0,1,0,29.656
1,2,3,1,0,0,1,1,1,0,118.884
4,2,1,0,0,1,1,0,0,1,35.944
4,2,2,1,1,1,0,1,0,0,33.97
1,1,3,0,0,0,0,0,1,1,86.616
2,1,1,1,1,1,0,0,1,0,41.828
1,2,1,0,0,1,0,1,1,0,118.988
3,3,3,0,0,1,1,1,0,0,75.71
1,2,2,0,1,0,1,1,1,0,124.204
1,3,1,1,0,0,0,0,1,1,137.002
2,3,2,1,1,0,1,0,1,1,80.616
1,2,3,1,0,0,1,1,0,0,133.572
2,2,3,0,1,1,1,0,0,0,69.676
1,1,3,0,0,1,1,1,0,0,94.67
1,3,1,0,1,1,0,1,1,0,152.628
3,1,1,1,0,0,1,0,0,0,29.912
1,3,2,0,1,0,0,1,1,0,152.56
4,2,1,1,0,0,1,1,1,1,32.044
4,1,1,1,1,1,0,1,0,0,23.666
4,2,3,0,0,0,0,1,0,0,36.184
2,3,1,0,0,0,0,1,0,1,96.284
4,3,2,1,0,1,0,0,1,1,37.546
3,3,3,0,0,0,0,1,0,1,67.308
3,2,1,1,1,0,0,1,0,1,46.404
1,2,1,0,0,1,1,1,0,1,142.442
1,2,3,1,1,0,0,1,1,1,111.856
4,3,2,1,1,0,0,1,0,0,46.222
2,3,1,0,0,0,0,1,1,0,80.57
2,3,1,1,1,0,0,0,0,0,82.424
1,1,1,1,0,0,0,0,0,0,80.742
1,2,2,1,1,1,1,1,0,1,133.016
2,1,1,1,0,1,0,0,1,1,42.918
4,3,1,1,1,0,1,1,0,0,50.002
1,1,1,1,0,0,1,0,1,1,81.78
1,3,1,0,0,0,0,1,1,0,153.338
2,1,2,1,1,1,0,0,0,0,42.406
1,1,2,1,1,0,0,1,1,1,86.52
1,3,2,1,1,0,0,1,1,1,146.224
1,1,1,0,0,1,1,0,0,1,86.822
3,2,1,1,1,1,1,1,1,0,43.236
1,3,2,0,1,1,1,1,0,1,193.77
2,2,1,1,0,1,1,1,0,0,71.572
3,2,2,1,1,1,0,0,1,1,38.006
2,3,1,1,0,1,1,1,1,0,84.682
3,3,2,0,0,1,0,1,1,0,54.784
1,1,1,0,0,0,0,1,1,0,94.0
1,3,3,0,1,0,0,1,0,0,180.45
3,2,1,1,1,1,1,0,0,1,46.406
2,1,1,1,1,1,1,0,0,0,42.258
1,3,2,1,0,0,0,0,1,1,137.542
1,1,3,1,1,1,1,1,1,0,86.718
3,1,3,0,0,1,0,1,0,0,33.626
4,3,2,1,0,0,1,1,1,1,43.12
1,3,2,1,1,0,0,1,0,1,172.1
2,1,2,0,1,0,1,0,1,0,45.836
2,3,3,0,1,1,0,1,1,1,80.148
3,1,3,1,0,1,0,0,1,1,30.398
4,3,3,1,0,0,0,1,1,1,39.458
1,2,3,1,1,0,1,1,1,0,117.46
1,1,3,1,1,0,1,0,1,0,80.45
1,3,2,1,1,0,1,0,0,0,170.47
4,2,1,1,0,0,0,0,1,1,28.574
1,3,1,0,0,0,0,1,1,0,153.338
1,2,3,1,0,1,0,1,0,1,128.37
4,2,2,1,0,0,0,0,1,0,29.544
2,3,1,0,1,0,1,1,1,1,87.584
3,2,1,1,0,1,1,1,0,0,51.016
1,2,2,1,1,0,1,0,0,0,122.508
3,1,2,0,0,1,0,1,0,0,33.812
1,1,2,1,0,1,1,0,1,0,82.328
2,3,1,0,0,1,0,1,0,1,96.752
3,3,2,0,0,1,0,1,1,0,54.784
3,1,2,0,0,0,1,0,1,0,32.19
3,1,1,0,0,0,1,1,1,1,34.218
3,1,2,0,0,1,1,1,1,1,34.37
3,1,1,0,1,0,0,0,0,0,31.298
1,3,1,0,0,1,0,0,0,1,166.396
4,3,2,0,0,0,0,0,1,1,39.166
1,3,2,0,1,1,0,1,1,1,152.756
3,2,2,0,0,1,1,1,1,1,46.292
2,2,2,1,1,0,0,0,1,1,55.12
3,3,3,1,1,1,1,1,1,1,58.82
3,2,1,1,1,1,0,1,0,1,46.412
1,2,1,1,1,0,1,0,0,0,121.92
1,1,2,1,0,0,1,0,0,1,82.364
4,2,3,1,0,0,0,0,1,1,29.528
1,3,2,1,0,0,0,0,0,0,158.004
4,1,2,1,0,0,1,1,1,0,23.66
2,2,1,0,0,0,1,0,1,0,62.038
4,3,2,1,0,0,0,0,1,0,37.964
3,1,3,1,1,1,1,0,0,1,29.97
1,3,3,1,0,0,0,0,1,1,137.97
2,2,2,0,0,1,0,1,1,1,62.67
4,2,2,1,0,0,0,0,0,0,32.322
2,3,3,0,1,1,1,1,1,1,87.736
4,2,3,0,0,0,1,0,0,1,36.98
2,2,2,1,0,1,1,1,0,0,71.32
1,2,2,1,1,0,0,0,0,1,114.664
2,3,1,0,0,0,1,1,1,0,87.87
1,3,2,1,1,0,0,0,0,0,156.276
3,3,2,1,0,0,1,0,1,0,57.846
2,2,1,1,0,0,1,1,0,0,71.29
4,2,3,0,1,1,1,0,1,1,32.942
3,2,2,1,0,0,1,1,1,1,43.858
1,3,2,0,1,1,1,1,0,1,193.77
2,2,2,0,0,1,0,1,1,0,62.632
3,1,2,0,0,1,0,0,0,1,31.814
4,3,1,1,0,0,1,0,1,0,41.46
3,2,2,1,1,1,1,0,1,0,41.478
1,1,3,1,0,1,0,0,0,1,81.778
1,3,3,0,0,1,1,1,1,0,164.824
4,3,1,1,1,0,1,0,0,0,46.628
2,2,1,1,0,1,0,1,0,0,67.692
4,1,1,1,1,0,1,0,0,0,22.018
3,1,3,1,0,1,1,0,0,1,30.912
3,2,2,1,0,1,0,1,1,1,40.562
3,1,3,0,0,1,1,1,0,1,34.214
2,3,2,0,1,1,1,1,0,0,103.458
3,2,1,0,0,0,1,1,0,0,54.174
2,1,2,0,0,1,1,0,0,1,46.638
4,2,2,0,1,1,1,1,0,1,38.242
4,1,1,0,0,1,0,1,0,1,25.246
4,2,3,1,0,0,0,0,1,0,30.104
3,3,3,0,1,1,1,0,0,0,70.202
3,3,2,0,1,0,1,0,1,0,58.954
1,3,2,1,0,0,0,0,1,0,138.17
4,2,1,0,1,0,0,1,1,0,31.746
4,2,2,1,1,0,1,1,1,1,31.878
1,2,1,1,1,0,1,1,1,0,117.458
1,1,1,0,1,0,0,0,0,1,83.758
4,3,1,1,1,1,0,0,1,0,36.996
4,2,1,1,0,0,0,0,1,1,28.574
3,1,2,0,1,1,1,0,0,1,31.574
3,1,2,0,1,0,1,1,0,1,33.708
3,3,2,1,0,1,0,0,1,0,50.354
1,1,1,1,0,0,0,0,1,0,80.744
1,3,2,0,1,1,0,1,1,1,152.756
2,1,2,1,0,0,0,1,1,1,46.968
4,3,3,1,0,1,0,1,0,1,47.038
2,2,1,1,0,1,1,0,1,1,59.736
