ee_instrument,simplifycfg,ipsccp,called_value_propagation,basicaa,instcombine,inline,mergereturn,jump_threading,pgo_memop_opt,tailcallelim,licm,sink,gvn,sccp,adce,Performance
1,0,1,1,0,1,0,1,0,1,1,0,1,1,0,0,89358.0
1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,70289.0
1,1,0,1,0,0,1,1,1,1,0,1,0,1,1,1,88505.8
1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,89971.6
0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,93869.2
0,0,0,1,1,1,1,0,1,1,0,0,0,1,0,1,89367.0
1,0,1,1,1,1,0,0,1,0,1,0,1,1,0,1,85746.0
0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,1,89802.0
1,1,1,1,0,1,0,0,0,1,1,0,1,1,0,1,89723.4
1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,68239.6
0,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0,89241.6
1,1,1,0,1,0,1,1,1,1,1,0,0,1,0,0,80298.0
0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,75378.8
0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,82252.2
0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,78685.4
0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,72763.4
1,0,1,0,1,0,1,1,0,1,1,1,1,0,1,0,80602.4
1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,81204.0
1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,84728.8
0,0,1,0,0,0,1,1,0,1,1,1,0,0,1,0,76499.4
1,1,0,0,0,1,1,1,0,1,1,1,0,1,0,1,76938.2
0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,1,73678.0
0,1,0,1,1,0,0,1,1,1,1,1,1,0,1,0,84706.0
0,1,0,0,1,0,0,1,1,1,0,1,0,1,0,0,66483.4
1,0,1,1,1,0,0,1,1,1,0,0,0,1,1,1,88819.4
1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1,78597.8
0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,61905.8
0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,1,76363.4
0,0,1,0,0,1,0,0,1,1,1,1,1,0,1,0,75927.6
1,1,0,1,1,1,0,0,0,1,1,1,0,0,1,0,80833.2
0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,71445.0
1,1,0,1,0,0,0,0,0,1,1,1,0,1,1,1,83845.0
1,0,1,1,1,0,0,0,1,0,0,1,0,1,1,1,83986.6
0,0,1,1,0,0,1,1,1,0,0,0,1,0,1,1,88197.6
0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1,76026.8
1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,65445.2
0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,61954.4
0,1,1,1,0,1,0,1,0,0,0,1,1,1,0,1,84638.8
0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,62804.2
1,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,73177.8
1,0,1,0,1,0,1,1,0,1,1,0,1,0,0,0,78425.2
1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,83621.0
1,0,0,0,0,1,1,0,1,0,1,0,0,1,1,1,71864.2
1,1,1,1,0,1,1,0,0,1,0,0,1,1,0,1,94353.8
0,1,1,1,0,0,1,1,0,0,0,1,0,0,1,0,81115.8
0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,71394.8
1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,90925.0
0,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,95247.6
0,0,1,0,0,1,1,0,1,0,1,1,1,1,1,0,77291.2
1,1,1,0,1,1,0,1,0,0,0,1,1,1,1,0,68780.8
1,0,0,1,1,1,1,1,0,1,1,0,0,1,1,0,86959.2
0,0,1,1,0,1,1,1,0,1,0,0,0,1,0,1,93419.6
1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,98599.8
0,1,1,0,0,0,1,1,1,0,1,0,0,1,1,0,71618.2
1,1,0,1,0,1,0,1,0,1,1,1,0,0,0,0,82981.2
1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,63231.8
1,1,0,1,1,0,0,0,1,1,0,1,0,0,1,0,79500.0
1,0,1,0,0,1,1,0,1,1,0,1,0,0,0,0,78954.6
1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,90195.0
0,1,0,0,1,1,0,1,1,0,1,0,0,1,1,0,63221.6
1,1,1,0,1,0,0,0,1,1,1,0,0,1,0,0,72687.8
1,0,1,1,0,1,1,1,0,0,0,0,1,0,1,0,85211.0
0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,1,81250.4
1,1,0,1,1,0,1,1,0,1,0,1,0,1,1,1,88480.4
1,1,0,1,1,0,0,1,1,0,1,0,0,0,0,1,76887.8
0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,69767.6
1,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,70635.4
0,0,1,0,1,0,1,1,1,0,0,1,0,0,1,0,71213.2
0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,103459.2
0,1,1,0,1,0,1,0,1,0,1,1,1,1,1,0,76208.6
0,1,1,0,0,0,1,1,0,1,1,1,0,1,1,1,81756.8
0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,1,86226.8
1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,69841.4
1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,95118.4
0,0,1,1,1,1,0,1,1,0,1,1,1,0,1,1,90006.0
1,1,0,0,0,1,1,0,1,1,0,1,0,1,1,1,77558.2
0,0,0,1,0,0,1,1,1,1,1,0,0,1,1,1,90536.0
1,1,0,1,1,1,1,1,0,0,0,1,0,0,1,0,78885.6
0,0,1,0,1,0,0,0,1,1,1,1,0,1,0,0,74095.4
1,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,70809.8
0,0,1,1,1,1,0,1,0,0,1,0,1,0,0,0,82612.8
0,1,1,0,1,0,1,1,0,0,1,1,1,0,1,1,77967.4
1,0,1,0,1,0,1,1,0,0,1,1,0,0,0,1,75893.4
0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1,78454.4
0,1,1,1,0,0,1,1,0,1,1,0,1,1,0,1,94410.4
0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,63140.2
1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,67013.4
1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,63202.2
0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,63344.2
1,0,1,0,1,1,1,0,1,0,1,0,1,1,1,0,76663.8
0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,83893.0
1,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,73031.6
0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,77994.4
1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,1,81692.2
0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,87733.2
1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,0,81941.8
1,0,1,1,0,0,1,1,1,1,1,0,0,0,1,1,92605.0
0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,93475.4
1,1,1,0,0,1,1,0,1,1,1,1,1,0,0,1,86347.4
0,0,0,0,1,1,1,1,1,0,0,1,0,1,0,1,69713.6
1,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,72096.4
1,1,1,0,0,0,0,1,1,0,0,1,1,0,1,0,66453.6
0,0,0,1,1,0,1,1,1,0,0,1,0,1,1,1,84592.0
1,0,0,1,0,1,1,0,0,1,1,1,0,1,0,0,88665.4
1,0,0,1,1,1,1,0,1,0,0,0,1,1,0,1,83668.8
0,0,1,0,1,1,1,0,1,1,1,0,0,0,0,1,82589.0
1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,1,84744.0
0,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,72499.2
0,1,0,1,0,0,1,0,1,1,1,1,1,1,0,1,91189.4
1,1,0,1,1,0,0,0,0,1,1,0,1,1,0,1,83147.6
0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,95460.4
1,0,1,0,1,1,1,0,0,1,1,0,1,1,1,0,81163.8
0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,65563.6
1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,71372.0
0,1,1,0,0,0,0,0,1,1,0,1,0,1,1,1,75549.2
0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,75102.2
0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,100297.6
1,1,1,0,1,0,0,1,1,0,1,1,0,1,1,1,73534.8
0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,73245.0
1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,64173.6
1,1,1,0,0,1,1,0,0,1,0,1,1,0,0,0,78186.2
0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,62990.2
0,1,0,1,0,1,1,0,0,0,0,1,1,0,1,1,83913.0
1,1,0,1,0,0,0,0,1,1,1,1,1,0,1,1,86691.2
1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,72195.6
1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,77314.0
1,0,0,1,1,0,1,1,0,1,0,1,0,0,0,0,84005.6
1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,94418.2
1,0,1,1,0,0,1,1,1,0,1,0,1,1,1,0,86926.8
0,1,0,1,0,1,0,1,1,1,0,0,0,1,0,1,83271.2
0,1,1,1,0,0,0,1,1,0,1,1,0,1,0,1,84541.4
0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,72959.0
0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,65551.0
0,1,1,0,0,0,1,1,0,1,0,1,1,0,1,1,79714.8
0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,79340.2
1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,99851.0
1,1,0,0,1,0,0,1,1,1,1,0,1,0,0,1,71021.6
1,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,84896.6
1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,99990.4
0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,78181.8
1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,74456.4
0,1,1,0,0,1,1,0,1,0,1,1,0,1,1,0,75990.2
1,1,0,0,0,0,1,1,1,0,1,1,1,0,0,0,67451.4
1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,63671.6
1,0,1,0,1,0,1,1,0,0,1,1,1,1,0,1,77833.2
1,1,0,1,1,1,1,1,0,0,0,1,1,1,0,0,81004.4
1,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,84656.8
0,1,0,1,1,1,0,1,1,1,0,0,1,1,0,0,82867.4
1,0,1,0,1,0,1,0,0,1,1,1,0,0,1,1,83752.8
0,0,1,0,1,1,1,0,0,1,0,0,0,1,1,0,75980.4
0,1,1,1,1,0,0,0,1,0,0,1,1,0,1,0,80676.8
