7z.csv,Apache.csv,brotli.csv,LLVM.csv,PostgreSQL.csv,spear.csv,storm.csv,x264.csv
"[4, 0, 1, 0, 0, 1, 2, 0]","[0, 1, 1, 1, 0, 0, 0, 0]","[4, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 1, 0, 0, 0, 1, 1, 1]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0]","[3, 0, 0, 1, 1, 0, 0, 0, 1, 0]"
9092.4,30.7448,1.46,52324.8,45980.8,0.0,1.36176146569e-06,21.556
6677,368,8212,2025,8870,4359,5575,6346
