7z.csv,Apache.csv,brotli.csv,LLVM.csv,PostgreSQL.csv,spear.csv,storm.csv,x264.csv
"[5, 1, 1, 1, 1, 10, 1, 4]","[0, 1, 2, 1, 0, 0, 512, 0]","[14, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 1, 0, 0, 64, 8, 256]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1]","[4, 1, 4, 1000000, 10, 1, 1, 10, 1024, 100, 5, 29]","[4, 1, 1, 1, 1, 0, 0, 0, 1, 0]"
9067.2,30.7448,1.46,52285.4,45922.8,0.0,0.0,21.556
6677,368,8212,2025,8870,4359,5575,6346
