7z.csv,Apache.csv,brotli.csv,LLVM.csv,PostgreSQL.csv,spear.csv,storm.csv,x264.csv
"[4, 0, 0, 0, 1, 70, 512, 2]","[0, 2, 2, 2, 0, 0, 1024, 9]","[23, 0]","[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0]","[0, 1, 0, 0, 0, 256, 32, 256]","[0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0]","[2, 10, 2, 1000000, 1, 0, 1, 10, 512, 100, 2, 29]","[3, 1, 3, 1, 1, 0, 1, 0, 1, 1]"
8921.2,165.1044,1.556,61847.2,46178.0,0.00297914597815,0.00253423808765,29.966
6677,368,8212,2025,8870,4359,5575,6346
