7z.csv,Apache.csv,brotli.csv,LLVM.csv,PostgreSQL.csv,spear.csv,storm.csv,x264.csv
"[5, 0, 0, 0, 0, 10, 1, 2]","[0, 1, 2, 1, 0, 0, 512, 0]","[14, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 1, 0, 0, 64, 8, 256]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4, 10, 2, 1000000, 10, 0, 1, 10, 512, 100, 5, 29]","[4, 1, 1, 1, 1, 0, 1, 0, 1, 1]"
9093.6,30.7448,1.46,52285.4,45922.8,0.000993048659384,8.17056879415e-06,21.772
6677,368,8212,2025,8870,4359,5575,6346
