7z.csv,Apache.csv,brotli.csv,LLVM.csv,PostgreSQL.csv,spear.csv,storm.csv,x264.csv
"[np.int64(2), np.int64(0), np.int64(1), np.int64(0), np.int64(0), np.int64(50), np.int64(16), np.int64(0)]","[np.int64(0), np.int64(2), np.int64(2), np.int64(2), np.int64(0), np.int64(1), np.int64(4096), np.int64(9)]","[np.int64(13), np.int64(1)]","[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(1), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(1), np.int64(0), np.int64(0), np.int64(0), np.int64(0)]","[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(1), np.int64(256), np.int64(8), np.int64(256)]","[np.int64(0), np.int64(0), np.int64(1), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(0), np.int64(1)]","[np.int64(4), np.int64(10), np.int64(2), np.int64(1000000), np.int64(1), np.int64(0), np.int64(1000), np.int64(1000), np.int64(1024), np.int64(10000), np.int64(5), np.int64(29)]","[np.int64(4), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(0), np.int64(0), np.int64(0), np.int64(1), np.int64(1)]"
4995.2,164.142,1.514,57596.4,46100.4,0.000993048659384,3.5405798108e-05,21.586
6677,368,8212,2025,8870,4359,5575,6346
