7z.csv,Apache.csv,brotli.csv,LLVM.csv,PostgreSQL.csv,spear.csv,storm.csv,x264.csv
"[3, 0, 1, 0, 1, 100, 1024, 4]","[0, 2, 2, 0, 1, 0, 512, 5]","[16, 6]","[0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0]","[0, 1, 0, 0, 1, 128, 8, 1024]","[1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0]","[4, 1, 4, 1000000, 1, 0, 1000, 1000, 512, 10000, 2, 0]","[2, 2, 1, 0, 0, 1, 0, 0, 0, 1]"
12288.8,163.0798,5.77,89680.8,46124.2,0.994041708044,0.00164909313495,65.37
6677,368,8212,2025,8870,4359,5575,6346
