7z.csv,Apache.csv,brotli.csv,LLVM.csv,PostgreSQL.csv,spear.csv,storm.csv,x264.csv
"[2, 1, 1, 0, 0, 40, 32, 4]","[1, 1, 2, 0, 0, 0, 1024, 0]","[14, 1]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0]","[0, 1, 1, 0, 0, 64, 8, 256]","[0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0]","[4, 1, 4, 1000000, 10, 1, 1, 10, 1024, 100, 5, 29]","[4, 1, 1, 1, 1, 0, 1, 0, 0, 0]"
4530.0,31.2326,1.46,59182.2,45922.8,0.000993048659384,0.0,22.018
6677,368,8212,2025,8870,4359,5575,6346
