7z.csv,Apache.csv,brotli.csv,LLVM.csv,PostgreSQL.csv,spear.csv,storm.csv,x264.csv
"[4, 0, 0, 0, 0, 1, 0, 1]","[0, 1, 1, 0, 0, 0, 1, 0]","[4, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0]","[3, 0, 1, 1, 1, 1, 1, 1, 1, 0]"
9093.6,31.2232,1.472,52285.4,45980.8,0.000993048659384,1.36176146569e-05,23.062
6677,368,8212,2025,8870,4359,5575,6346
