7z.csv,Apache.csv,brotli.csv,LLVM.csv,PostgreSQL.csv,spear.csv,storm.csv,x264.csv
"[3, 0, 0, 0, 0, 4, 4, 0]","[0, 1, 1, 1, 0, 0, 0, 0]","[4, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 1, 0, 0, 0, 2, 0, 2]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1]","[3, 0, 0, 1, 1, 1, 1, 0, 0, 1]"
9041.2,30.7448,1.46,52324.8,46096.4,0.0,0.0,21.714
6677,368,8212,2025,8870,4359,5575,6346
