spset-old-default,spset-autotuned-fh_1_0,spset-autotuned-fh_1_1,spset-autotuned-fh_1_2,spset-sw-verif,spset-hw-bmc,sp-var-dec-heur,sp-learned-clause-sort-heur,sp-orig-clause-sort-heur,sp-res-order-heur,sp-clause-del-heur,sp-phase-dec-heur,sp-resolution,sp-use-pure-literal-rule,Performance
0,0,1,0,0,0,1,1,0,1,0,0,0,0,0.6372299464530264
0,0,0,0,1,0,1,0,1,0,0,1,1,1,0.637438957316346
1,0,0,1,1,1,1,0,0,1,1,0,0,0,0.6374155716372566
1,1,1,1,1,1,1,1,0,1,0,0,0,1,0.6371642128319267
0,0,1,1,1,1,1,0,0,0,1,0,0,1,0.636689825237939
1,0,1,1,0,0,0,0,0,0,1,1,1,0,0.6359978524629991
0,1,1,0,1,0,0,1,1,0,0,0,0,0,0.6350942143693796
0,0,1,1,0,0,1,0,1,1,0,1,0,1,0.6339852827799807
1,0,1,0,0,1,0,0,1,0,1,0,0,1,0.6326778559957275
1,0,1,1,0,0,1,1,1,1,1,1,1,1,0.631179132217537
0,0,0,1,1,1,0,0,1,0,1,0,0,0,0.6294966819692712
1,1,0,1,0,1,1,0,0,0,1,1,0,1,0.6276384196209347
1,0,1,1,0,1,0,1,1,0,1,1,1,1,0.6256125741138587
0,1,0,0,0,0,1,1,0,0,1,1,1,1,0.6234276589917577
1,0,0,0,1,1,0,0,0,1,0,0,1,0,0.621092441843296
0,0,1,0,0,1,0,0,0,1,0,0,1,0,0.6186159132632151
1,1,0,1,0,1,0,0,1,1,0,0,0,0,0.6160072554400812
1,1,1,0,0,1,1,0,0,1,1,1,1,1,0.6132758104793758
0,1,1,1,1,0,1,1,0,1,1,0,1,1,0.6104310485709099
1,0,0,1,0,1,0,0,0,0,1,0,0,1,0.6074825361094458
1,1,0,0,1,0,1,0,0,0,1,0,0,0,0.6044399038769299
1,1,1,0,0,0,1,1,0,1,1,0,1,0,0.6013128153938809
1,0,1,1,1,1,1,1,0,1,1,0,0,0,0.5981109355462637
1,0,0,1,1,1,1,1,0,1,1,1,1,0,0.5948438995925927
0,0,0,1,0,1,1,1,0,1,1,0,0,1,0.5915212826540666
0,0,0,0,1,1,0,1,0,0,0,1,0,0,0.5881525697882563
1,1,1,1,0,1,0,0,0,1,0,0,0,1,0.584747126744228
1,0,1,0,1,0,0,1,0,1,1,1,0,1,0.5813141714940406
1,1,1,0,0,0,1,1,0,0,1,1,1,1,0.5778627466322734
0,0,1,0,0,1,0,0,1,1,0,0,1,0,0.5744016927316674
1,1,1,0,0,1,0,0,0,0,1,1,0,0,0.570939622739088
1,1,1,1,1,1,0,0,0,0,1,1,0,1,0.5674848974918772
1,0,0,0,1,1,0,0,1,1,1,1,1,0,0.5640456024302456
0,1,1,0,0,1,0,0,1,1,1,1,1,1,0.5606295255767056
0,0,0,1,0,1,1,0,0,1,0,0,1,0,0.5572441368486682
1,0,1,0,1,0,1,1,1,0,1,0,0,1,0.5538965687652216
1,0,1,1,1,0,1,1,0,1,0,0,0,0,0.5505935986038385
1,0,1,1,1,0,0,1,1,1,0,1,1,0,0.5473416320572939
1,0,1,0,0,1,1,1,1,0,0,1,0,1,0.5441466884354682
1,1,1,1,0,0,0,1,0,0,1,1,1,0,0.5410143874509679
0,1,1,0,1,1,0,1,0,0,1,0,0,0,0.5379499376216437
1,1,0,1,0,1,0,0,1,1,1,1,1,1,0.5349581263171374
0,0,1,0,0,1,0,1,0,1,0,1,1,0,0.5320433114705809
1,0,0,0,1,0,0,0,1,1,0,0,0,1,0.5292094149705027
1,1,1,0,0,1,1,1,1,1,0,0,1,0,0.5264599177419125
0,0,0,0,1,0,1,0,1,1,0,0,0,1,0.5237978565194396
0,0,1,1,0,0,1,1,0,1,1,0,1,1,0.521225822309324
0,0,0,1,0,0,0,0,1,1,1,1,1,1,0.5187459605310248
0,1,1,1,1,1,0,0,0,1,0,0,1,1,0.5163599728232244
0,1,1,1,1,0,0,0,1,1,1,1,1,0,0.5140691204931167
0,0,0,1,0,1,0,1,0,1,0,1,0,1,0.5118742295820664
0,0,0,0,0,0,1,1,0,1,0,0,0,0,0.5097756975150541
1,1,1,1,1,1,1,0,1,1,1,1,0,0,0.5077735012957822
1,0,0,1,0,0,0,1,0,1,1,1,0,1,0.5058672072039525
0,0,0,1,1,0,0,0,0,1,1,0,1,0,0.5040559819460235
