new_column,filterOff,HeaderCompressionOff,mtOff,tmOff,Files,BlockSize,x,Performance
4,0,0,0,1,10,16,6,50696.90728784046
1,0,0,1,1,50,128,10,51536.49118482426
5,1,1,0,1,90,2048,4,52386.801419986645
3,1,0,1,0,70,256,2,53245.9559713541
5,0,0,0,0,100,2048,0,54112.054074910266
1,0,0,0,1,40,512,10,54983.181082797724
2,0,1,0,0,20,2048,8,55857.41336276323
1,0,1,1,0,100,4,6,56732.82322525334
3,1,0,1,1,60,1024,0,57607.48386446948
4,0,0,1,1,50,4096,8,58479.47429963212
3,1,0,1,0,90,2048,2,59346.88430268843
2,1,0,0,1,70,2,8,60207.81929872114
3,1,1,1,1,10,1,6,61060.40522538281
5,1,0,0,1,50,64,2,61902.793337786454
5,1,0,0,0,20,1024,8,62733.164945431265
2,0,1,1,0,30,8,10,63549.73606793091
2,1,1,1,1,0,128,2,64350.76199653989
3,0,1,0,1,80,1,0,65134.54174874097
5,0,1,1,1,80,1024,4,65899.4224034633
5,0,0,0,0,50,16,10,66643.8033048441
5,1,0,0,0,80,128,8,67366.14012282706
4,1,1,1,1,80,32,0,68064.94875930656
1,0,1,0,1,50,2048,8,68738.80908897649
4,0,1,1,0,20,2048,10,69386.36852452454
5,1,1,1,1,60,32,6,70006.34539632735
3,1,1,0,0,100,256,4,70597.53213734474
1,0,1,0,1,50,512,4,71158.79826448308
1,0,1,1,0,100,128,0,71689.0931482952
3,1,1,1,0,10,2048,6,72187.44856350649
5,1,0,1,1,100,1,8,72652.9810135011
3,0,0,0,0,70,512,2,73084.89382256681
5,0,0,1,0,90,2,8,73482.47899038099
1,0,1,0,1,80,4096,0,73845.11880391793
2,1,1,1,0,70,512,4,74172.28720267287
3,0,0,1,0,0,32,10,74463.55089382124
2,0,0,1,0,30,4096,10,74718.57021466797
1,1,0,1,0,40,128,2,74937.09974048164
1,1,1,1,0,70,512,10,75118.98863655608
1,0,1,1,0,40,4,8,75264.18075408992
3,1,0,0,0,90,64,10,75372.71447022505
1,1,1,0,0,90,128,10,75444.7222733302
1,1,1,0,1,80,16,0,75480.43009535968
4,0,1,0,1,70,16,10,75480.15639385192
1,0,0,1,0,90,4,8,75444.31098685948
2,1,0,0,0,60,4,0,75373.39364481602
1,0,1,0,1,20,1,0,75267.99244404818
1,1,0,0,1,30,1,6,75128.78188732475
4,1,1,0,0,0,64,10,74956.520797503
2,1,1,1,0,50,512,4,74752.04999097968
2,1,1,0,0,40,2,2,74516.28973827887
4,0,1,0,0,0,1024,4,74250.2370197104
5,1,1,1,0,100,512,8,73954.96258460809
3,0,1,1,0,0,512,4,73631.60782320371
2,0,1,1,0,60,4,0,73281.38146071268
1,0,0,0,1,40,1024,6,72905.55608369372
5,1,0,0,0,0,256,2,72505.46450920045
5,1,0,0,1,90,32,8,72082.4960076647
5,0,1,0,1,70,32,6,71638.09239083772
4,0,0,0,0,80,512,10,71173.74397646585
1,0,1,0,1,50,128,4,70690.98544169152
2,1,0,1,1,70,2,8,70191.39157744474
4,0,1,1,1,0,8,10,69676.57295632856
3,0,0,0,0,60,4096,6,69148.17152669813
5,0,0,1,0,50,4,0,68607.85614579135
3,0,1,0,0,100,8,2,68057.31806488623
5,1,0,0,0,30,32,8,67498.26637953725
4,0,0,0,0,100,512,0,66932.42345797857
2,1,1,1,0,60,4,0,66361.52036077874
1,1,1,1,1,20,128,0,65787.29226478611
1,1,1,1,1,0,4096,8,65211.47390432001
2,1,0,1,1,10,2048,8,64635.795042437545
3,1,1,1,0,10,128,2,64061.975984943856
5,1,1,1,1,20,2048,4,63491.72314960981
2,0,1,0,1,40,2048,8,62926.72470282326
5,1,1,0,1,80,1024,10,62368.64627562273
4,0,1,1,0,10,8,4,61819.12677075087
1,1,1,1,0,30,4,10,61279.77427201858
4,1,0,0,0,50,1,0,60752.16206689123
5,1,1,0,0,60,2,6,60237.824792796404
2,1,1,0,0,90,64,10,59738.25471721196
3,0,0,1,0,10,16,0,59254.898161121215
4,1,1,0,0,90,2,0,58789.15207492539
5,1,1,1,0,80,64,6,58342.36077538031
3,1,1,1,0,80,4,8,57915.81285157676
5,0,1,0,0,100,16,0,57510.73824741736
5,0,1,1,0,10,4096,0,57128.30552745302
3,1,1,1,0,70,2,4,56769.619332337985
3,1,1,0,1,100,128,4,56435.71802954006
2,0,1,1,0,0,1,10,56127.57156430894
5,0,0,0,0,10,4,0,55846.0795152586
4,0,0,1,1,30,1024,6,55592.06935826532
5,1,0,1,1,80,512,2,55366.29494172025
3,1,0,1,0,20,4,2,55169.43517550862
1,1,1,1,1,20,4,2,55002.09293541856
1,1,1,1,1,10,2048,0,54864.794184012346
3,0,0,0,0,70,512,4,54757.98730832538
3,0,0,0,1,90,2048,6,54682.04267409398
1,0,1,1,0,50,4,0,54637.25239555646
5,1,0,0,1,20,512,8,54623.83031922148
4,0,0,1,0,100,2048,6,54641.9122193601
2,1,1,0,1,20,64,2,54691.55620235146
2,0,0,1,0,20,256,10,54772.74331639973
5,1,1,1,0,70,8,0,54885.378362546144
1,1,1,0,0,100,256,0,55029.29090232096
2,1,0,0,1,10,1024,10,55204.236456825645
3,1,0,1,0,0,2,0,55409.89789149869
2,1,0,1,1,20,1,6,55645.886980307914
5,0,0,0,0,60,4096,10,55911.74614262503
2,0,1,1,0,90,32,10,56206.950345578385
4,1,0,1,0,30,256,8,56530.90916424722
1,0,1,0,1,50,4096,6,56882.96899165723
2,0,1,0,0,60,2,8,57262.415390164344
