fsync,synchronousCommit,fullPageWrites,trackActivities,trackCounts,sharedBuffers,tempBuffers,workMem,Performance
0,0,1,0,0,128,8,1024,46245.0
1,1,0,0,1,128,2,1024,130383.4
1,0,1,0,1,64,8,1024,135714.8
0,0,1,0,0,64,8,1024,46291.6
0,0,0,1,0,128,2,256,46486.8
1,0,0,1,0,128,8,256,132011.0
1,0,1,1,0,128,2,256,138332.6
1,0,0,0,0,128,8,256,133984.8
0,0,0,0,0,128,2,256,46236.8
0,0,0,1,1,128,2,256,46335.6
0,0,1,1,0,64,8,256,46557.4
0,1,1,0,1,64,8,256,46219.0
0,1,0,1,0,128,8,1024,46356.0
0,1,0,1,1,128,2,1024,46445.4
1,0,1,0,1,64,2,256,134987.2
0,0,1,1,1,64,2,1024,46681.8
0,1,1,0,1,128,8,1024,46188.8
0,0,0,1,1,64,8,256,46340.2
1,1,0,1,0,128,8,256,131542.8
1,0,1,1,0,64,8,1024,138765.2
0,1,1,1,0,64,2,1024,46505.8
0,1,0,0,0,128,2,256,46022.8
1,1,0,1,1,128,8,1024,129166.2
1,1,0,0,0,64,2,1024,132621.4
1,0,0,0,1,128,8,256,133596.6
1,1,1,0,0,64,2,1024,129472.0
1,1,1,0,0,128,8,1024,133603.0
0,1,0,0,0,64,2,256,46500.4
0,0,1,0,1,128,8,1024,46365.0
0,1,1,1,0,64,8,1024,46311.6
0,0,1,1,0,128,8,1024,47024.0
1,1,1,1,1,64,8,256,131856.0
0,1,1,1,0,64,2,256,46507.8
0,1,1,0,0,128,2,256,46183.8
1,1,1,1,0,128,2,256,128216.6
1,1,1,0,1,64,2,256,132282.6
1,0,1,0,0,64,8,256,131837.2
0,0,0,0,0,64,8,256,46297.6
1,0,0,0,1,128,2,256,135331.6
1,0,1,0,1,64,2,1024,131850.2
0,1,0,1,1,128,8,256,47454.8
1,1,0,1,0,64,2,256,134157.4
0,1,1,1,0,128,2,1024,46400.2
0,0,1,1,1,64,8,256,46834.4
1,1,1,0,1,128,2,1024,134561.0
0,1,0,1,0,64,2,256,46355.4
1,0,0,1,1,128,8,256,132351.4
1,0,1,0,0,128,8,1024,130578.0
0,1,0,0,1,128,2,256,47040.2
0,0,1,0,0,128,2,1024,46254.6
0,1,0,0,1,64,8,256,46237.6
0,0,0,1,0,64,2,1024,46287.8
1,0,0,0,1,64,8,1024,134427.4
1,0,0,1,1,128,2,256,131667.8
1,1,0,1,0,64,8,1024,132315.2
1,0,1,0,0,128,8,256,131236.6
0,0,1,0,1,64,2,256,46268.8
0,1,0,0,0,64,8,1024,46294.0
1,0,1,0,0,128,2,256,135048.6
1,0,0,1,0,128,2,256,132275.4
1,1,1,1,1,128,8,1024,130226.0
1,1,0,0,1,64,2,256,134110.6
0,1,0,0,0,128,2,1024,46240.8
1,0,1,0,1,128,2,256,136870.8
