topology.workers,component.bolt_num,topology.acker.executors,message.size,component.spout_num,topology.serialized.message.size.metrics,topology.max.spout.pending,storm.messaging.netty.min_wait_ms,topology.transfer.buffer.size,storm.messaging.netty.max_wait_ms,topology.level,topology.priority,Performance
2,10,4,1000000,10,0,1000,10,1024,10000,2,29,2.0
4,10,4,10,10,0,1,10,512,100,2,0,0.140114360728
2,10,4,1000000,10,1,1,10,512,10000,5,0,2.0
4,1,2,1000000,1,1,1000,10,512,100,5,29,2.0
4,10,4,1000000,10,0,1000,1000,1024,10000,2,29,0.000381293210394
2,1,2,10,10,0,1,10,1024,100,2,0,0.149368891649
2,10,2,1000000,10,1,1,1000,512,100,5,0,2.0
2,1,2,1000000,10,0,1,10,1024,10000,5,29,2.0
4,1,4,10,10,0,1,10,1024,100,2,0,0.145061640133
2,10,2,10,10,0,1,10,512,10000,2,0,2.0
4,1,2,1000000,10,0,1000,1000,512,100,2,0,2.0
2,1,2,1000000,10,0,1,1000,512,10000,5,0,2.0
4,10,2,10,1,1,1,10,1024,10000,5,0,2.0
2,1,2,1000000,10,1,1000,1000,512,100,2,29,2.0
4,10,2,1000000,1,0,1000,10,512,10000,5,0,2.0
4,1,2,10,10,1,1000,1000,512,10000,2,0,0.518803883199
4,1,2,10,10,0,1000,10,1024,100,5,0,0.206825693171
2,10,4,10,10,0,1,1000,1024,10000,5,0,0.13412397204
2,10,2,1000000,10,0,1,1000,1024,100,2,0,2.0
2,1,4,1000000,10,0,1,1000,512,10000,5,29,2.0
4,1,2,10,10,1,1,10,1024,10000,2,0,2.0
2,1,4,10,10,1,1000,1000,1024,10000,5,0,0.305102656388
4,10,4,1000000,1,0,1,10,1024,100,2,29,0.00230001511555
4,1,4,1000000,1,0,1000,10,512,100,5,29,2.0
4,10,4,1000000,10,0,1,10,512,10000,5,0,2.0
4,1,2,1000000,10,1,1,1000,1024,100,2,0,2.0
4,10,2,10,10,0,1000,10,512,100,5,29,0.199901136118
4,1,4,10,10,1,1,10,1024,10000,5,29,2.0
2,10,2,1000000,1,1,1,1000,1024,100,5,29,2.0
2,10,4,1000000,10,1,1000,10,1024,100,2,0,2.0
4,1,2,1000000,10,1,1,1000,512,100,2,0,2.0
2,1,4,1000000,10,1,1000,1000,512,100,5,29,2.0
4,1,2,10,10,0,1000,1000,512,100,2,0,2.0
2,1,4,1000000,1,0,1,10,1024,10000,5,29,2.0
2,10,2,10,10,1,1000,1000,1024,100,5,0,2.0
2,10,2,1000000,1,0,1,1000,1024,100,2,0,2.0
2,10,2,1000000,1,0,1000,1000,512,100,5,29,2.0
4,10,2,1000000,10,0,1000,1000,1024,10000,2,0,2.0
2,1,2,10,10,0,1,1000,1024,10000,5,29,0.142566893128
4,1,2,1000000,10,0,1,1000,512,10000,5,0,2.0
2,10,4,10,10,1,1000,10,1024,100,5,0,0.339419045324
4,1,4,10,10,0,1000,10,1024,10000,2,29,2.0
2,1,4,10,1,0,1,1000,512,10000,5,29,0.0148486470219
4,10,2,1000000,1,1,1,10,512,10000,2,0,2.0
2,1,4,10,1,0,1,10,1024,100,2,29,0.0150787847096
4,10,2,10,10,0,1000,1000,1024,10000,2,29,0.518455272264
4,10,2,1000000,10,1,1000,1000,1024,100,2,0,2.0
2,1,4,10,1,1,1,1000,1024,100,2,0,2.0
2,10,4,1000000,10,1,1,1000,1024,10000,5,29,2.0
2,10,4,1000000,10,0,1,10,512,100,2,29,2.0
4,1,2,1000000,1,1,1000,1000,1024,100,2,29,2.0
4,1,4,1000000,1,1,1000,1000,512,100,5,0,2.0
2,1,4,1000000,10,1,1000,1000,512,10000,5,29,2.0
2,10,2,10,1,0,1000,1000,512,10000,2,29,0.783180339433
4,10,4,10,1,0,1000,1000,1024,100,5,29,2.0
2,10,4,10,1,1,1000,1000,512,10000,5,29,0.296401000622
2,1,4,1000000,10,0,1000,10,512,100,2,0,2.0
4,1,2,1000000,1,1,1,1000,512,10000,2,0,0.00319333063705
2,1,2,10,1,1,1000,1000,512,100,2,0,2.0
2,1,2,10,1,0,1,1000,512,10000,2,29,0.0146334887103
2,1,2,1000000,1,1,1000,10,512,100,2,0,2.0
2,1,2,10,1,0,1000,10,1024,10000,5,29,2.0
4,10,4,10,1,0,1,10,512,100,5,0,0.0146702562699
2,10,4,1000000,1,0,1000,1000,1024,100,5,0,2.0
2,10,4,10,10,0,1000,1000,1024,100,5,0,2.0
4,10,2,10,10,0,1000,1000,1024,10000,5,0,0.191567155948
4,1,2,10,10,0,1,10,512,10000,2,0,2.0
2,1,2,10,1,1,1,1000,512,10000,5,29,0.0146811503616
4,10,2,10,1,0,1,1000,512,10000,2,29,0.0144809714262
4,1,4,1000000,10,0,1000,1000,1024,10000,2,0,0.000192008366662
4,1,4,1000000,10,0,1000,10,512,10000,5,29,2.0
4,1,2,10,1,0,1,1000,512,10000,2,0,0.0146484680864
2,10,4,1000000,10,1,1,1000,512,10000,2,29,2.0
4,1,2,1000000,1,0,1000,10,512,10000,2,29,2.0
2,1,2,10,1,1,1,10,512,100,2,0,0.0151196375536
4,1,4,1000000,1,1,1000,10,512,100,5,29,0.000121196770447
4,1,2,10,10,0,1,1000,512,100,2,0,2.0
2,1,4,10,1,0,1000,1000,512,10000,5,0,0.187852270669
4,10,4,10,1,0,1,10,512,10000,5,0,2.0
2,10,4,1000000,10,0,1000,1000,1024,10000,2,0,2.0
4,10,2,10,10,1,1000,10,1024,100,5,0,0.190913510444
2,10,2,1000000,10,0,1000,10,1024,100,2,29,2.0
2,10,2,10,1,1,1,10,512,10000,5,0,2.0
2,10,2,10,1,0,1000,1000,1024,10000,2,0,0.794361762827
2,1,2,10,10,0,1000,1000,1024,100,5,29,2.0
4,1,4,10,1,0,1,10,1024,100,2,29,0.0148309441228
4,1,2,1000000,10,1,1000,10,512,100,2,0,2.0
4,1,4,10,1,0,1000,10,1024,10000,2,29,2.0
2,1,4,10,1,0,1,10,1024,10000,2,29,2.0
2,1,4,1000000,1,1,1000,1000,512,10000,2,29,2.0
4,1,4,10,10,0,1,1000,1024,100,2,29,2.0
4,10,2,1000000,1,0,1,10,1024,10000,2,0,2.0
2,1,4,1000000,1,1,1,10,1024,100,5,0,0.000851100916057
4,10,2,1000000,1,0,1000,1000,512,10000,5,0,0.000717648292419
2,10,2,1000000,10,0,1,10,1024,100,2,29,2.0
2,10,2,1000000,10,1,1000,1000,512,100,5,29,2.0
4,1,4,10,10,0,1,10,1024,100,2,29,0.146159219874
2,1,4,10,1,1,1,10,512,10000,5,29,2.0
4,1,4,1000000,10,0,1000,10,1024,10000,2,29,2.0
4,1,2,10,1,0,1000,1000,512,100,2,0,2.0
2,1,4,10,1,1,1,1000,1024,100,5,0,2.0
2,10,2,10,10,0,1000,10,1024,100,5,0,0.266434077808
4,10,4,1000000,10,0,1,10,512,10000,2,0,2.0
4,1,2,10,10,1,1,10,1024,10000,2,29,2.0
2,10,4,10,1,1,1,1000,1024,10000,5,0,0.0150787847096
4,10,4,10,1,1,1,10,512,100,5,29,0.0144578214812
2,10,4,10,10,1,1,10,512,10000,2,0,2.0
2,1,2,1000000,1,0,1000,10,1024,10000,2,29,2.0
4,10,4,1000000,10,0,1,1000,512,10000,5,0,1.90646605197e-05
4,1,2,10,1,0,1,1000,512,10000,5,0,0.0146021681966
4,10,4,10,10,1,1000,1000,1024,100,2,0,2.0
4,10,4,10,10,0,1000,10,512,10000,2,29,2.0
4,1,4,10,1,1,1000,1000,1024,10000,5,29,0.240286895906
4,10,2,10,1,0,1,1000,512,10000,5,29,0.0144346715363
2,1,4,10,10,1,1000,10,512,100,2,29,0.795566921725
2,1,4,10,10,0,1,1000,1024,100,2,0,2.0
2,1,4,10,10,1,1,1000,512,10000,2,29,0.149510514841
4,1,4,1000000,10,1,1,10,1024,10000,5,0,2.0
2,10,2,1000000,10,0,1,1000,512,100,5,0,2.0
4,1,4,10,10,0,1,1000,512,100,5,29,2.0
4,10,4,1000000,1,1,1000,10,1024,100,5,0,0.000130729100706
4,1,2,10,10,1,1000,10,512,10000,5,29,2.0
2,10,4,1000000,10,0,1,10,512,10000,2,29,2.0
2,10,2,10,1,1,1000,1000,512,10000,5,29,0.284368476311
2,1,4,1000000,10,0,1000,1000,512,10000,5,29,2.0
4,1,2,1000000,10,0,1,10,1024,10000,5,0,2.0
4,10,2,1000000,10,1,1000,10,1024,100,5,29,2.0
2,10,4,1000000,10,0,1000,1000,512,100,5,29,2.0
2,10,4,1000000,1,1,1,1000,1024,100,5,0,2.0
4,1,2,10,1,1,1000,1000,1024,10000,5,0,0.233781761384
2,10,4,10,1,1,1,1000,1024,100,5,0,2.0
2,10,2,1000000,1,0,1,1000,512,100,2,0,2.0
4,10,4,10,1,0,1,1000,1024,100,5,0,2.0
4,1,2,1000000,10,1,1000,10,1024,10000,2,29,2.0
2,1,2,1000000,10,1,1000,1000,1024,10000,2,0,2.0
4,1,2,10,1,1,1000,10,1024,100,5,0,0.203782156295
4,10,4,1000000,10,1,1000,10,512,100,5,29,2.0
4,1,2,1000000,1,0,1,1000,1024,100,5,29,2.0
4,10,2,10,1,1,1000,1000,512,100,5,0,2.0
2,1,4,10,1,1,1,1000,512,100,2,0,2.0
2,10,2,10,10,1,1000,10,1024,100,2,0,0.778427791917
2,1,2,10,1,1,1,10,512,10000,2,0,2.0
4,10,2,1000000,1,1,1000,1000,512,10000,5,0,2.0
2,10,4,1000000,1,0,1,1000,1024,10000,5,29,0.00100634172315
2,10,2,10,10,0,1000,10,512,100,2,29,0.803372538446
4,10,2,1000000,1,0,1,10,512,10000,5,29,2.0
4,1,2,1000000,10,1,1,1000,512,10000,2,0,0.00525367573464
4,10,4,10,10,0,1,1000,1024,100,5,29,2.0
2,1,4,1000000,1,1,1,1000,512,100,2,0,2.0
4,1,4,1000000,10,1,1000,10,1024,10000,5,29,2.0
4,1,2,1000000,1,1,1000,1000,1024,100,2,0,2.0
2,1,2,10,10,0,1,10,512,10000,5,29,2.0
4,1,2,1000000,1,0,1000,10,1024,100,2,29,2.0
4,10,4,10,1,1,1000,10,512,10000,5,29,2.0
2,1,4,10,1,0,1000,1000,512,100,2,0,2.0
4,10,2,1000000,10,1,1000,10,512,100,5,29,2.0
2,1,2,10,10,1,1000,10,512,10000,5,0,2.0
4,1,2,1000000,10,0,1000,1000,512,10000,2,29,2.0
2,1,4,10,10,1,1000,1000,512,10000,5,29,0.303581568831
4,10,2,10,10,0,1,1000,1024,10000,5,0,0.0817560731157
4,10,2,10,10,0,1000,10,1024,10000,2,29,2.0
2,1,2,1000000,10,0,1000,1000,1024,100,5,29,2.0
2,10,4,10,1,0,1000,1000,1024,10000,2,0,0.919360571286
4,10,4,1000000,10,1,1000,1000,1024,100,5,0,2.0
2,10,2,10,1,1,1,1000,512,100,2,29,2.0
2,1,4,1000000,10,0,1,10,1024,10000,2,29,2.0
4,1,4,1000000,1,1,1000,1000,1024,10000,5,0,1.36176146569e-06
4,1,4,10,10,1,1,10,1024,10000,2,29,2.0
4,1,2,1000000,1,1,1000,1000,512,10000,2,0,2.0
2,10,4,1000000,1,0,1,10,1024,100,2,29,0.00250155581247
4,10,2,10,10,0,1,10,1024,10000,2,29,2.0
4,1,2,10,10,0,1,1000,1024,100,2,29,2.0
2,10,2,10,1,1,1000,1000,512,100,2,29,2.0
2,10,2,10,1,0,1000,1000,1024,100,2,0,2.0
4,1,2,1000000,10,0,1000,1000,512,10000,5,0,2.0
4,1,4,10,10,1,1,1000,512,100,2,29,2.0
2,1,2,10,10,1,1000,1000,512,10000,2,0,0.778524476981
4,1,4,1000000,10,0,1,10,1024,100,5,29,2.0
4,1,2,1000000,1,1,1,1000,512,10000,5,29,0.000668624879654
2,1,2,1000000,1,0,1000,1000,512,100,5,0,2.0
2,1,4,10,1,1,1000,10,512,10000,2,0,2.0
2,1,4,10,10,1,1,1000,1024,100,2,29,2.0
4,1,2,10,1,0,1000,10,512,100,5,0,0.231592048947
4,10,4,10,1,1,1,10,1024,10000,5,29,2.0
4,1,2,10,1,0,1000,10,1024,10000,2,29,2.0
2,10,4,1000000,1,1,1000,10,512,100,2,29,6.40027888875e-05
2,10,4,10,10,1,1,10,512,100,5,29,0.13338998261
2,10,2,10,1,0,1000,1000,1024,10000,5,0,0.278203782156
4,1,4,1000000,1,1,1,1000,512,10000,5,29,0.000815695117949
4,1,2,10,10,1,1,10,512,10000,5,0,2.0
2,1,4,10,10,0,1,10,512,100,2,0,0.149765164235
4,10,2,10,1,0,1000,10,1024,10000,2,29,2.0
2,10,4,1000000,10,1,1,1000,1024,10000,2,0,2.0
2,10,4,1000000,10,1,1,10,1024,10000,5,29,2.0
4,10,4,10,10,1,1,10,1024,10000,2,29,2.0
2,1,4,1000000,10,0,1,10,512,10000,2,0,2.0
2,10,4,1000000,1,0,1000,10,512,10000,2,29,2.0
2,1,4,1000000,1,0,1000,10,512,10000,5,29,2.0
4,10,4,1000000,10,0,1,1000,512,100,5,29,2.0
2,10,4,10,1,0,1,10,1024,100,5,0,0.0149521408933
4,1,4,10,10,1,1000,10,1024,10000,2,29,2.0
4,1,4,1000000,1,0,1,1000,1024,10000,2,29,0.00196502179499
2,1,4,10,1,1,1,1000,512,10000,2,0,0.0149507791318
2,10,4,1000000,10,0,1000,1000,512,10000,2,29,2.0
2,10,2,10,1,1,1,10,512,100,2,29,0.0147928148018
2,1,2,10,10,0,1000,10,1024,100,2,0,0.776984324764
4,10,4,1000000,1,0,1000,10,512,100,2,0,0.000114387963118
2,1,2,1000000,1,0,1000,1000,512,10000,5,0,0.000142984953898
2,1,4,1000000,1,0,1000,1000,512,100,2,29,2.0
4,10,2,1000000,1,1,1,10,1024,10000,5,0,2.0
2,10,4,1000000,1,1,1000,10,1024,100,5,0,0.000253287632619
4,10,4,10,10,1,1,10,1024,100,2,29,0.144736179142
4,1,4,1000000,10,1,1,10,1024,10000,5,29,2.0
2,10,4,10,1,0,1,1000,512,10000,5,0,0.0149698437923
4,1,4,10,1,1,1000,1000,512,100,5,0,2.0
4,10,4,10,1,0,1000,10,1024,10000,5,0,2.0
2,1,4,1000000,1,0,1,1000,1024,10000,5,0,2.0
4,10,2,1000000,10,1,1000,10,1024,10000,2,29,2.0
4,1,2,1000000,1,0,1,10,1024,100,5,29,0.000690413063105
4,1,2,10,1,0,1,1000,512,100,5,0,2.0
2,1,4,1000000,1,1,1000,1000,1024,10000,2,29,2.0
4,1,2,1000000,10,1,1000,1000,512,100,5,0,2.0
2,1,4,10,1,1,1000,1000,512,10000,2,29,0.964704504571
2,1,2,1000000,1,1,1000,1000,512,10000,2,29,1.63411375883e-05
4,1,2,1000000,10,1,1,10,512,10000,5,29,2.0
2,10,4,1000000,10,1,1000,1000,512,10000,2,29,2.0
2,10,2,1000000,10,0,1,1000,1024,100,2,29,2.0
2,10,4,1000000,1,1,1,10,1024,100,5,29,0.00101451229194
4,10,4,1000000,1,0,1,1000,1024,10000,5,29,0.000921912512273
2,1,4,10,10,0,1000,10,512,10000,5,0,2.0
4,1,2,10,10,0,1000,1000,1024,100,2,0,2.0
2,1,2,1000000,10,0,1,1000,512,100,2,0,2.0
2,1,2,10,1,1,1000,1000,1024,10000,5,0,0.295612540734
2,10,4,10,1,1,1,1000,1024,100,5,29,2.0
4,10,2,10,10,0,1,1000,1024,100,2,29,2.0
4,1,4,1000000,1,0,1000,1000,512,10000,2,29,8.98762567356e-05
4,10,2,10,10,1,1000,10,512,100,5,29,0.201494397032
4,1,2,1000000,10,1,1,1000,512,10000,5,29,2.0
2,1,4,10,10,1,1,1000,512,100,5,29,2.0
2,10,2,1000000,1,1,1000,10,1024,10000,2,29,2.0
2,1,2,10,1,0,1,10,1024,100,2,0,0.0149943554987
4,10,2,1000000,10,0,1000,10,512,100,2,0,5.3108697162e-05
2,10,4,10,10,0,1000,1000,1024,10000,5,29,0.326084677051
4,1,2,1000000,1,0,1000,10,1024,10000,2,29,2.0
2,1,2,10,1,1,1,10,512,10000,5,29,2.0
4,10,4,10,10,1,1000,1000,512,100,5,0,2.0
4,10,2,10,1,0,1000,1000,512,10000,2,0,0.604283012162
4,10,2,10,1,1,1000,10,1024,100,5,29,0.207851099554
2,1,2,1000000,1,0,1,10,1024,100,5,0,2.0
4,1,4,10,10,0,1,1000,1024,10000,5,29,0.0803207765309
2,1,4,1000000,1,1,1000,10,1024,10000,5,0,2.0
2,1,4,10,10,0,1,10,512,100,2,29,0.149673926217
4,1,2,10,10,0,1,10,1024,100,5,29,0.0890741792323
2,1,4,10,1,1,1,10,512,100,2,29,0.0146593621782
2,10,4,10,1,0,1000,10,512,100,2,0,0.856347782984
2,10,4,10,1,0,1,1000,512,10000,2,0,0.0148309441228
2,10,2,1000000,1,0,1000,1000,1024,100,5,29,2.0
2,10,4,1000000,1,0,1,10,1024,100,2,0,0.00257236740869
2,1,2,1000000,1,0,1,10,1024,10000,5,29,2.0
4,10,4,10,1,0,1,10,1024,100,2,29,0.0148037088935
4,10,2,10,10,0,1000,10,512,10000,5,29,2.0
4,1,4,10,1,0,1,1000,1024,10000,2,0,0.0143802010777
4,10,4,1000000,10,0,1,1000,512,100,5,0,2.0
4,10,2,1000000,1,0,1000,10,1024,10000,5,29,2.0
4,10,4,1000000,1,1,1000,1000,512,100,2,29,2.0
2,1,2,10,10,1,1,10,1024,10000,5,0,2.0
2,10,4,1000000,1,0,1000,10,512,100,2,0,2.72352293138e-06
4,10,2,1000000,10,0,1000,10,1024,100,5,0,2.0
4,10,4,10,1,1,1000,1000,1024,10000,5,0,0.218911326179
4,10,2,1000000,10,0,1,10,1024,100,5,0,0.000814333356483
4,10,4,10,10,0,1000,1000,1024,100,2,29,2.0
4,1,2,1000000,10,1,1,10,512,100,2,0,0.00619329114596
4,10,2,10,1,1,1000,1000,1024,10000,2,29,0.617667765608
2,10,4,10,1,1,1,1000,1024,100,2,29,2.0
4,1,4,10,10,1,1,10,1024,10000,2,0,2.0
2,1,2,10,1,1,1000,10,1024,10000,5,0,2.0
2,1,2,1000000,10,0,1,1000,1024,100,5,29,2.0
4,1,2,10,1,1,1,1000,512,10000,5,0,0.0145354418848
4,1,2,1000000,1,1,1000,10,512,100,2,0,2.0
2,1,4,10,1,0,1,10,1024,10000,5,29,2.0
4,10,2,10,10,1,1000,10,512,100,5,0,0.196587970472
4,1,2,1000000,1,0,1000,1000,512,10000,5,0,2.0
4,1,4,1000000,10,0,1,1000,1024,10000,5,0,0.000473892990061
2,10,4,1000000,10,0,1,1000,1024,10000,5,29,2.0
2,10,2,1000000,10,0,1,1000,1024,10000,2,0,2.0
4,10,2,10,10,0,1,10,512,100,5,29,0.0819725931887
2,1,2,10,1,1,1000,10,512,100,5,0,0.302173507475
4,10,2,1000000,1,0,1000,1000,512,10000,2,29,0.00610750017362
4,10,2,10,10,1,1000,10,512,100,2,0,0.539599342542
2,1,4,10,10,1,1,10,512,100,2,29,0.149827805263
2,10,4,1000000,10,0,1000,10,1024,100,5,29,2.0
4,10,2,1000000,10,1,1000,1000,512,10000,2,0,2.0
4,10,4,1000000,10,1,1,10,512,10000,5,0,2.0
2,10,4,1000000,1,0,1000,1000,512,10000,5,0,0.000965488879175
2,1,2,10,10,0,1000,1000,1024,100,5,0,2.0
2,10,4,10,10,1,1000,10,512,100,5,29,0.338219333472
2,10,2,1000000,1,1,1000,1000,1024,100,5,0,2.0
2,1,2,1000000,10,1,1000,10,1024,100,2,0,2.0
4,10,4,1000000,1,1,1000,1000,512,10000,5,0,0.000129367339241
4,10,2,1000000,1,1,1000,10,512,10000,2,0,2.0
2,1,4,1000000,10,0,1000,1000,1024,100,5,29,2.0
4,10,2,1000000,10,1,1000,1000,512,10000,5,29,2.0
2,1,2,1000000,10,1,1,10,1024,100,5,0,2.0
2,1,2,1000000,1,0,1,1000,512,100,2,0,2.0
4,1,2,1000000,10,1,1000,10,512,100,2,29,0.000200178935457
2,10,4,10,10,1,1000,1000,1024,100,2,0,2.0
4,1,4,1000000,10,1,1000,1000,512,100,2,29,2.0
2,1,4,10,10,1,1,10,1024,100,5,0,0.137652295998
2,1,4,10,1,1,1,10,1024,10000,2,29,2.0
4,10,2,1000000,10,0,1,10,1024,100,5,29,0.000326822751766
2,10,4,10,10,0,1,10,1024,10000,2,0,2.0
2,10,2,10,1,0,1,1000,1024,10000,5,29,0.0150651670949
4,1,4,1000000,1,1,1,1000,512,10000,5,0,0.000804801026223
2,1,4,1000000,10,1,1,1000,512,100,5,29,2.0
4,1,2,10,10,1,1,1000,512,10000,5,29,0.087757355895
4,10,2,10,10,0,1000,1000,512,10000,2,0,0.518967294575
4,10,4,1000000,1,0,1,10,512,10000,2,29,2.0
2,1,2,1000000,10,0,1000,10,512,10000,2,0,2.0
4,10,4,1000000,1,1,1,1000,1024,10000,2,29,0.00224282113399
4,1,2,10,10,1,1000,1000,1024,10000,5,0,0.201480779418
2,10,2,1000000,10,1,1000,1000,512,10000,2,29,2.0
2,1,4,1000000,10,1,1000,1000,1024,10000,5,0,2.0
2,1,4,1000000,10,1,1000,1000,1024,100,2,0,2.0
4,1,4,10,10,0,1000,10,1024,100,2,29,0.458031192508
4,1,2,1000000,1,1,1,1000,512,100,2,29,2.0
2,10,2,1000000,10,0,1,10,1024,10000,2,29,2.0
4,1,2,1000000,1,0,1000,10,512,100,5,0,2.0
4,10,2,1000000,10,0,1000,10,512,100,2,29,2.0
4,1,2,10,1,1,1000,10,1024,10000,2,0,2.0
4,1,2,1000000,10,1,1,10,1024,100,5,29,0.000228775926236
