new_column,filterOff,HeaderCompressionOff,mtOff,tmOff,Files,BlockSize,x,Performance
5,1,1,1,1,90,8,0,9234.2
5,1,0,1,0,20,1024,10,300584.2
4,1,0,1,0,100,32,8,125121.8
4,0,0,0,0,100,32,2,8959.6
3,1,1,0,0,50,1,6,18303.4
5,0,0,1,1,40,128,4,9172.2
1,1,1,0,1,40,4,2,17717.0
3,0,0,1,0,10,1,2,14379.8
1,1,0,1,0,20,4096,2,17770.2
5,0,0,1,0,80,256,10,299987.2
4,1,0,1,1,30,128,4,43444.2
4,0,1,1,1,10,512,2,35824.2
3,0,1,0,0,10,32,6,11709.8
3,0,0,0,0,70,256,6,10810.4
1,1,1,1,0,60,2048,8,102589.2
4,0,1,1,0,30,16,4,43545.6
3,0,1,0,1,70,2048,8,37978.2
3,1,1,0,0,70,2,2,13178.6
4,1,0,1,0,100,32,4,43601.2
5,0,0,1,1,100,128,8,122124.0
4,1,1,1,1,40,4,10,415281.4
4,1,1,1,0,40,32,0,35849.6
5,1,1,0,1,50,1024,0,9166.2
1,0,1,1,1,40,4096,6,91011.6
1,1,0,1,1,70,8,10,109086.2
1,1,0,0,0,90,32,6,87457.0
3,0,0,0,1,20,4096,10,49307.0
1,0,0,0,0,100,2,6,73363.8
5,0,1,1,1,0,16,8,121118.0
4,1,1,0,0,50,256,0,8932.6
4,0,1,0,0,70,4,2,9348.4
3,1,0,0,0,100,128,0,12317.6
5,1,0,0,0,40,16,0,9230.6
1,0,0,0,0,30,2048,2,17747.0
5,0,1,0,0,70,1024,4,9174.4
3,0,0,1,0,20,16,6,11026.4
5,0,0,0,0,50,4096,8,122043.8
2,0,1,0,0,60,256,6,88494.4
1,0,1,1,1,10,8,6,99007.8
1,0,1,1,0,80,32,8,103728.6
3,0,1,0,1,30,4,10,46709.0
1,0,1,1,0,90,128,10,102852.2
4,1,1,1,1,90,32,10,416233.6
2,1,0,0,0,30,512,0,4850.2
4,1,1,1,1,30,2048,2,35631.8
5,0,1,0,1,90,2048,10,299170.8
5,1,1,0,1,60,2048,2,9227.8
4,0,0,1,0,30,128,4,43346.2
2,1,1,1,0,90,32,8,103437.2
5,0,0,0,1,50,8,6,47435.4
5,1,0,1,1,70,2,8,120997.8
5,0,1,1,1,40,2048,6,47775.4
4,1,1,0,0,100,32,8,39457.6
3,0,0,0,0,80,128,2,12076.0
5,1,1,1,0,70,1,8,121494.8
4,0,1,1,1,80,16,4,43588.4
1,1,1,1,1,30,4,0,17698.0
4,0,1,1,0,70,32,6,49424.0
5,0,0,1,1,100,4,2,9188.6
5,0,0,1,1,0,4,4,9224.6
3,0,1,0,0,0,1024,6,20680.2
5,0,0,0,0,90,512,2,9153.6
1,1,1,0,0,90,32,6,87211.6
4,1,0,0,1,80,1,6,34760.2
4,1,0,0,1,20,4096,10,124133.0
5,1,1,1,0,50,512,4,9171.8
3,1,0,1,0,100,4,10,46703.4
3,1,1,0,0,30,16,0,12059.8
5,1,1,0,0,70,1024,0,9106.2
4,1,1,1,0,0,2,8,115835.8
5,0,1,0,0,0,4096,2,9199.2
5,0,1,0,0,70,8,6,47437.2
3,0,1,0,1,50,4096,8,38141.0
4,1,0,0,0,100,1024,4,12786.0
4,0,1,1,0,50,256,4,43732.8
4,1,0,1,1,30,4096,10,415011.0
5,1,1,0,1,30,64,2,9110.8
5,1,0,0,0,60,4096,8,121988.2
5,1,0,1,0,90,1024,10,299147.6
3,0,0,0,1,40,2,8,39185.8
2,0,0,1,1,30,2,6,107191.4
4,0,1,1,1,0,1,4,39515.0
2,1,1,1,0,30,512,4,11966.8
4,0,0,1,1,90,4,6,48952.6
4,0,0,1,0,70,1024,0,35766.4
4,1,0,0,0,0,1024,4,22083.4
1,1,1,0,1,80,1024,6,89726.2
3,0,0,0,1,70,256,2,12166.6
5,0,1,1,0,80,1024,4,9125.8
5,0,0,0,1,70,4,0,9126.2
1,1,1,0,1,100,128,0,17723.6
1,1,0,1,0,0,32,2,17926.4
4,0,0,0,1,100,4096,10,110490.2
4,0,1,1,0,70,64,2,35669.2
1,1,0,0,1,10,2,8,80514.4
1,0,1,0,0,50,2,2,17634.8
3,1,1,0,0,80,2048,4,12050.4
4,1,0,0,0,80,64,10,113617.6
4,0,0,0,1,60,4,8,51429.6
4,1,1,1,1,100,512,2,35825.8
3,1,0,0,0,30,1,6,18266.8
5,1,1,1,0,10,256,8,121966.8
5,0,1,0,1,40,16,6,47581.6
1,0,1,0,0,90,2,8,79898.8
3,1,0,1,0,60,2,2,13102.4
5,1,1,0,1,70,4096,6,47553.8
4,0,1,0,1,20,4096,0,9106.6
5,0,0,0,1,10,128,8,121450.6
5,1,0,1,1,100,2048,0,9121.6
2,1,1,1,1,90,128,8,102904.8
5,0,0,0,1,30,4096,0,9185.0
1,1,0,0,1,10,128,8,99872.4
5,0,1,0,0,40,1,10,298439.6
5,1,1,1,1,100,2048,8,122302.0
2,0,1,0,0,80,4,0,5536.6
5,1,1,0,0,0,1024,8,121577.8
5,0,1,1,1,70,1024,0,9133.2
1,0,1,0,0,80,256,2,17742.6
1,1,1,1,0,30,64,6,91379.8
2,1,1,1,0,70,1024,4,11838.4
3,0,0,1,0,30,256,4,12112.4
4,1,1,1,1,40,32,2,35903.8
4,1,0,0,1,100,2048,4,12767.6
5,1,0,0,1,30,4,10,298368.4
2,1,0,0,0,70,256,10,100843.2
4,0,1,1,1,80,2,6,48741.4
1,1,1,0,1,20,2048,8,101414.4
3,0,0,0,0,90,64,2,12203.8
1,0,0,1,0,90,16,0,17731.8
2,0,1,1,0,80,16,2,17639.0
3,0,0,1,1,100,16,0,12214.4
1,0,1,1,1,90,32,0,17758.2
1,1,1,0,0,100,32,2,17739.0
1,0,1,0,0,100,16,0,17630.0
3,0,0,1,0,100,32,0,12139.2
2,1,0,1,1,100,16,0,17619.0
3,0,1,0,1,90,64,0,12085.8
2,0,0,0,1,90,32,2,4730.6
1,0,0,0,1,90,64,2,17773.2
3,0,1,0,0,90,16,2,12167.6
1,0,0,0,1,100,32,0,17711.2
1,1,1,1,0,100,64,0,17779.0
2,0,0,1,1,90,64,0,17761.6
2,1,1,0,1,80,16,2,4993.2
1,0,0,0,1,80,64,2,17709.6
2,0,0,0,0,100,16,2,4918.0
3,0,1,0,1,100,64,0,12121.2
2,1,0,0,1,80,16,0,5006.4
3,0,1,0,0,90,64,2,12036.2
2,1,0,0,1,80,64,0,4734.4
1,0,1,0,1,100,32,0,17712.4
2,1,1,0,1,100,16,2,4903.6
1,1,1,1,1,80,16,0,17736.6
1,1,0,1,0,90,16,0,17739.6
3,1,1,1,0,80,32,2,12220.8
3,1,0,0,0,90,32,0,12165.4
3,0,1,1,0,90,64,0,12108.6
2,0,1,0,1,80,64,2,4717.4
