ee_instrument,simplifycfg,ipsccp,called_value_propagation,basicaa,instcombine,inline,mergereturn,jump_threading,pgo_memop_opt,tailcallelim,licm,sink,gvn,sccp,adce,Performance
0,1,0,0,0,1,1,1,1,0,1,1,0,0,0,1,71808.8
1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,73076.6
1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,59210.6
1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,0,84265.4
1,0,1,0,1,1,0,0,0,0,1,1,0,1,1,0,67140.2
1,0,1,0,1,1,1,0,0,1,0,1,1,0,1,1,83480.4
0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,73784.2
1,0,1,1,0,1,0,1,0,1,1,1,0,0,0,0,89232.8
0,0,0,0,1,0,1,0,1,1,0,1,0,1,1,0,71488.6
1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,70850.8
1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,0,74833.4
0,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,84594.2
0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,81362.2
0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,0,73110.4
0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,77078.6
1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,72439.2
1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,69035.4
0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,80808.0
0,1,0,1,1,1,0,1,0,1,1,1,1,0,1,0,84229.2
0,1,0,1,1,1,1,0,0,1,0,1,0,1,0,0,85444.0
0,0,1,1,0,1,0,1,1,1,0,0,1,0,1,1,91929.0
0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,91992.8
1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,86283.4
1,0,1,1,0,0,0,0,1,1,1,0,1,1,1,0,87900.0
1,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,81171.0
0,1,0,1,0,0,0,0,1,0,0,1,1,0,1,1,77988.6
1,1,1,0,0,1,0,1,1,0,1,1,1,1,0,1,75128.6
1,1,0,0,1,1,1,1,0,1,0,0,1,1,0,0,71997.6
1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,67615.8
0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,1,77629.8
1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,74931.0
1,1,0,1,0,1,0,0,1,1,0,1,1,0,1,1,85274.4
0,0,0,1,0,0,1,0,1,0,0,0,1,1,1,0,77495.8
0,0,1,1,1,0,1,0,1,0,0,1,1,0,0,0,86378.0
0,0,1,1,0,1,0,0,0,1,0,1,0,1,1,0,83902.4
0,0,0,1,0,1,1,0,1,1,1,0,1,1,0,0,90189.0
0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,73915.8
1,0,1,1,1,0,1,0,1,1,0,1,1,0,0,1,97044.6
0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,62036.2
0,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1,84946.2
0,0,1,1,1,1,1,1,1,0,0,0,1,1,0,0,87050.8
0,0,1,1,0,0,1,1,0,1,0,0,1,1,1,0,88304.4
1,1,1,1,0,0,0,1,1,1,0,0,1,0,1,0,85700.0
0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,75536.0
1,0,0,1,1,0,1,0,1,0,1,1,1,0,1,1,88674.0
