fsync,synchronousCommit,fullPageWrites,trackActivities,trackCounts,sharedBuffers,tempBuffers,workMem,Performance
0,0,1,0,0,256,2,256,46199.6
0,0,1,0,1,128,8,4096,46545.6
1,1,1,1,0,128,32,4096,127500.8
0,1,1,0,1,256,8,4096,46207.2
0,0,1,0,1,256,2,256,46342.0
0,1,1,1,1,256,32,4096,46325.4
0,0,0,1,1,64,2,1024,46426.0
1,1,0,0,1,256,32,4096,134608.6
1,1,1,0,0,64,8,4096,130763.8
1,0,1,0,0,256,32,1024,134646.2
1,1,0,1,1,256,8,1024,122151.8
1,1,1,1,1,128,32,1024,130943.4
0,1,1,0,1,256,8,1024,46398.4
0,0,0,0,0,256,8,1024,46252.0
1,0,0,1,1,256,2,1024,135362.8
0,0,1,1,0,64,32,4096,46914.0
0,0,1,1,1,256,32,1024,46821.8
1,0,0,1,1,256,2,4096,134019.0
1,1,1,0,0,64,32,4096,131524.0
0,0,1,1,0,128,2,4096,46450.2
0,0,0,1,1,256,32,1024,46368.4
1,0,0,1,0,256,8,4096,131930.8
1,0,1,1,0,128,8,4096,136843.8
1,1,1,1,1,128,8,4096,130405.6
1,1,0,0,0,128,32,1024,133666.2
1,0,1,1,1,64,8,4096,136839.6
0,0,1,1,1,128,32,256,46567.8
0,1,1,0,1,256,32,4096,46447.8
0,1,0,1,1,64,32,1024,46378.6
0,0,0,0,0,128,2,256,46236.8
0,0,1,0,1,64,32,4096,47106.4
0,1,0,1,1,128,8,1024,47354.4
1,0,0,1,0,256,2,1024,133313.6
1,0,0,1,1,128,8,256,132351.4
1,1,0,1,0,64,32,256,133072.4
1,1,1,0,1,64,32,256,133542.0
1,1,1,1,0,256,32,4096,134654.6
1,1,1,0,0,256,32,256,130642.8
1,1,0,0,0,256,2,4096,133927.6
1,0,1,0,1,256,32,4096,138982.6
0,1,0,0,1,256,32,1024,46191.2
0,1,0,0,0,256,32,4096,46039.0
0,0,0,1,0,128,8,1024,46551.6
0,1,0,0,0,64,32,4096,46336.2
0,0,0,0,0,64,2,4096,46558.6
0,0,0,1,0,256,32,1024,46419.0
0,1,0,1,0,256,32,4096,46756.0
1,0,0,1,0,256,32,4096,133534.2
1,1,0,0,1,128,32,4096,133873.0
0,0,1,1,1,256,2,256,46651.4
0,1,1,1,0,256,32,4096,46451.4
1,1,0,0,1,256,2,4096,132262.2
0,0,0,1,1,128,32,256,46408.2
1,1,1,0,0,256,8,4096,136698.2
1,1,0,1,0,256,8,4096,133120.6
0,0,0,1,1,256,32,4096,46507.4
1,0,1,1,0,256,2,4096,139497.4
1,1,0,0,0,128,2,1024,133545.6
0,1,0,0,0,256,2,4096,46096.4
1,0,1,1,1,128,32,256,137237.2
0,1,1,1,1,128,32,4096,46787.2
0,1,1,1,0,128,32,1024,46795.6
1,0,0,0,0,128,32,1024,127243.8
0,1,0,0,1,256,32,4096,46104.2
1,0,1,1,1,256,2,4096,140433.0
0,1,1,1,0,64,2,256,46507.8
0,1,0,1,1,256,32,1024,46390.0
1,1,0,1,1,256,32,256,132261.2
1,1,1,0,0,128,2,256,136797.8
1,0,1,1,1,128,32,4096,136977.2
0,1,1,0,1,64,2,4096,46299.4
1,1,0,1,0,256,32,1024,134381.0
0,1,1,1,1,128,2,4096,47014.0
0,1,1,1,0,256,2,256,46517.2
0,1,1,0,0,256,2,256,46407.8
0,0,0,0,1,64,2,4096,47346.2
1,0,0,0,1,256,32,1024,139426.0
1,0,0,0,1,256,8,256,136333.8
1,0,1,0,0,256,32,4096,138631.4
1,1,1,1,1,256,8,1024,131012.4
0,1,0,1,0,256,32,256,46333.0
0,1,1,1,0,256,2,4096,46688.0
1,1,1,0,1,64,2,4096,131156.6
0,0,0,0,1,256,32,4096,46070.8
1,1,0,0,0,256,32,4096,132785.6
1,0,0,1,0,128,32,4096,133001.4
0,0,1,1,1,128,8,4096,46649.4
1,1,1,0,0,256,32,4096,131082.0
0,1,0,1,1,64,2,4096,46521.2
1,0,1,0,1,256,8,256,134102.0
1,1,0,1,0,256,2,256,135862.0
1,1,1,1,1,256,32,4096,132021.2
0,0,1,0,1,64,8,256,46344.4
1,1,0,0,0,256,32,256,130682.8
1,0,0,1,1,256,32,4096,131185.4
1,0,0,1,0,128,32,256,134485.2
1,1,0,1,1,64,8,1024,125966.2
